Index,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z
2540,"0,999","0,027","0,006","-0,017","0,671","-0,731","0,117","-0,032","0,980","0,124","-0,133","-0,078","0,999","0,045","-0,007","0,012","0,988","0,141","0,059","0,034","0,981","0,192","-0,023","-0,023","0,672","-0,740","0,008","0,004"
2541,"0,999","0,027","0,005","-0,017","0,671","-0,732","0,117","-0,032","0,980","0,124","-0,133","-0,078","0,999","0,045","-0,007","0,012","0,988","0,140","0,060","0,034","0,981","0,192","-0,023","-0,023","0,672","-0,741","0,008","0,004"
2542,"0,999","0,027","0,005","-0,017","0,671","-0,732","0,117","-0,032","0,980","0,123","-0,134","-0,078","0,999","0,046","-0,007","0,012","0,988","0,140","0,060","0,034","0,981","0,192","-0,023","-0,023","0,672","-0,741","0,008","0,004"
2543,"0,999","0,027","0,005","-0,017","0,670","-0,732","0,117","-0,032","0,980","0,124","-0,134","-0,078","0,999","0,046","-0,007","0,012","0,988","0,140","0,060","0,034","0,981","0,192","-0,023","-0,023","0,672","-0,741","0,008","0,005"
2544,"0,999","0,027","0,005","-0,017","0,670","-0,732","0,117","-0,032","0,980","0,123","-0,134","-0,078","0,999","0,046","-0,007","0,012","0,988","0,140","0,060","0,034","0,981","0,192","-0,023","-0,023","0,671","-0,741","0,008","0,005"
2545,"0,999","0,027","0,005","-0,017","0,670","-0,732","0,117","-0,032","0,980","0,123","-0,133","-0,078","0,999","0,046","-0,007","0,012","0,988","0,140","0,060","0,034","0,981","0,193","-0,022","-0,023","0,671","-0,741","0,008","0,005"
2546,"0,999","0,027","0,005","-0,017","0,670","-0,733","0,117","-0,032","0,980","0,123","-0,133","-0,078","0,999","0,047","-0,007","0,012","0,988","0,140","0,060","0,034","0,981","0,193","-0,022","-0,023","0,671","-0,741","0,008","0,005"
2547,"0,999","0,027","0,005","-0,017","0,670","-0,733","0,118","-0,032","0,980","0,123","-0,133","-0,078","0,999","0,046","-0,007","0,012","0,988","0,140","0,061","0,034","0,981","0,193","-0,022","-0,023","0,671","-0,742","0,008","0,005"
2548,"0,999","0,027","0,005","-0,017","0,669","-0,733","0,118","-0,032","0,980","0,123","-0,133","-0,078","0,999","0,046","-0,007","0,012","0,988","0,140","0,061","0,034","0,981","0,193","-0,022","-0,023","0,671","-0,742","0,008","0,005"
2549,"0,999","0,027","0,005","-0,017","0,669","-0,733","0,118","-0,032","0,980","0,123","-0,133","-0,078","0,999","0,046","-0,007","0,012","0,988","0,140","0,061","0,034","0,981","0,193","-0,022","-0,023","0,671","-0,742","0,008","0,005"
2550,"0,999","0,027","0,005","-0,017","0,669","-0,733","0,118","-0,032","0,980","0,123","-0,133","-0,078","0,999","0,047","-0,007","0,012","0,988","0,140","0,061","0,034","0,981","0,193","-0,021","-0,023","0,670","-0,742","0,008","0,005"
2551,"0,999","0,026","0,005","-0,017","0,668","-0,734","0,118","-0,032","0,980","0,123","-0,133","-0,078","0,999","0,047","-0,007","0,012","0,988","0,140","0,061","0,034","0,981","0,193","-0,021","-0,023","0,670","-0,742","0,008","0,005"
2552,"0,999","0,026","0,005","-0,017","0,668","-0,734","0,118","-0,032","0,980","0,124","-0,133","-0,078","0,999","0,046","-0,007","0,012","0,988","0,139","0,061","0,034","0,981","0,193","-0,021","-0,023","0,670","-0,742","0,008","0,005"
2553,"0,999","0,027","0,005","-0,017","0,668","-0,734","0,118","-0,032","0,980","0,124","-0,133","-0,078","0,999","0,046","-0,007","0,012","0,988","0,139","0,061","0,034","0,981","0,193","-0,021","-0,024","0,670","-0,743","0,008","0,005"
2554,"0,999","0,027","0,005","-0,017","0,668","-0,734","0,118","-0,032","0,980","0,123","-0,133","-0,078","0,999","0,046","-0,007","0,012","0,988","0,139","0,061","0,034","0,981","0,193","-0,021","-0,024","0,669","-0,743","0,008","0,005"
2555,"0,999","0,027","0,005","-0,017","0,667","-0,735","0,119","-0,032","0,980","0,123","-0,133","-0,078","0,999","0,046","-0,007","0,012","0,988","0,139","0,061","0,034","0,981","0,193","-0,021","-0,024","0,669","-0,743","0,008","0,005"
2556,"0,999","0,027","0,005","-0,017","0,667","-0,735","0,119","-0,032","0,980","0,123","-0,133","-0,078","0,999","0,046","-0,007","0,012","0,988","0,139","0,061","0,034","0,981","0,193","-0,021","-0,024","0,669","-0,743","0,008","0,005"
2557,"0,999","0,027","0,005","-0,017","0,667","-0,735","0,119","-0,032","0,980","0,123","-0,133","-0,078","0,999","0,047","-0,007","0,012","0,988","0,140","0,061","0,034","0,981","0,193","-0,021","-0,024","0,669","-0,743","0,008","0,005"
2558,"0,999","0,027","0,005","-0,017","0,667","-0,735","0,119","-0,032","0,980","0,122","-0,133","-0,078","0,999","0,047","-0,007","0,012","0,988","0,140","0,061","0,034","0,981","0,193","-0,022","-0,024","0,669","-0,743","0,009","0,005"
2559,"0,999","0,027","0,005","-0,017","0,666","-0,735","0,119","-0,033","0,980","0,122","-0,133","-0,078","0,999","0,047","-0,007","0,012","0,988","0,140","0,060","0,034","0,981","0,193","-0,022","-0,024","0,669","-0,744","0,009","0,005"
2560,"0,999","0,027","0,005","-0,017","0,666","-0,735","0,120","-0,032","0,980","0,122","-0,133","-0,078","0,999","0,047","-0,007","0,012","0,988","0,140","0,060","0,034","0,981","0,193","-0,022","-0,024","0,668","-0,744","0,009","0,005"
2561,"0,999","0,027","0,005","-0,017","0,666","-0,735","0,120","-0,032","0,981","0,122","-0,133","-0,078","0,999","0,047","-0,007","0,012","0,988","0,140","0,060","0,033","0,981","0,193","-0,023","-0,024","0,668","-0,744","0,009","0,005"
2562,"0,999","0,027","0,005","-0,017","0,666","-0,736","0,120","-0,032","0,981","0,122","-0,133","-0,078","0,999","0,047","-0,007","0,012","0,988","0,139","0,060","0,033","0,981","0,194","-0,022","-0,024","0,668","-0,744","0,009","0,005"
2563,"0,999","0,026","0,005","-0,017","0,666","-0,736","0,120","-0,032","0,981","0,122","-0,133","-0,078","0,999","0,047","-0,007","0,012","0,988","0,139","0,061","0,033","0,981","0,194","-0,022","-0,024","0,668","-0,744","0,009","0,005"
2564,"1,000","0,026","0,005","-0,017","0,665","-0,736","0,120","-0,032","0,981","0,122","-0,133","-0,078","0,999","0,047","-0,007","0,012","0,988","0,139","0,061","0,033","0,980","0,194","-0,022","-0,024","0,668","-0,744","0,009","0,005"
2565,"1,000","0,026","0,005","-0,017","0,665","-0,736","0,120","-0,032","0,980","0,122","-0,133","-0,078","0,999","0,047","-0,007","0,012","0,988","0,138","0,061","0,033","0,980","0,194","-0,022","-0,024","0,668","-0,744","0,009","0,006"
2566,"1,000","0,026","0,005","-0,017","0,665","-0,736","0,120","-0,032","0,980","0,121","-0,134","-0,078","0,999","0,046","-0,007","0,012","0,988","0,138","0,060","0,033","0,980","0,194","-0,022","-0,024","0,668","-0,744","0,009","0,006"
2567,"1,000","0,026","0,005","-0,017","0,665","-0,736","0,120","-0,033","0,980","0,121","-0,133","-0,078","0,999","0,046","-0,007","0,012","0,988","0,138","0,060","0,033","0,980","0,194","-0,021","-0,024","0,667","-0,745","0,009","0,005"
2568,"1,000","0,026","0,005","-0,017","0,665","-0,736","0,120","-0,033","0,980","0,122","-0,133","-0,078","0,999","0,046","-0,007","0,012","0,988","0,138","0,060","0,033","0,980","0,194","-0,021","-0,025","0,667","-0,745","0,009","0,005"
2569,"1,000","0,026","0,005","-0,017","0,665","-0,737","0,120","-0,033","0,980","0,122","-0,133","-0,078","0,999","0,046","-0,007","0,012","0,988","0,138","0,060","0,033","0,980","0,194","-0,021","-0,025","0,667","-0,745","0,009","0,005"
2570,"1,000","0,026","0,005","-0,017","0,664","-0,737","0,120","-0,034","0,980","0,122","-0,134","-0,078","0,999","0,046","-0,007","0,012","0,988","0,138","0,060","0,032","0,981","0,194","-0,022","-0,025","0,667","-0,745","0,009","0,005"
