Index,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z
109,"-0,402","0,008","-0,041","0,255","0,434","0,010","-0,104","-0,323","0,001","0,134","0,300","0,207","0,013","0,179","-0,139","-0,266","0,097","0,050","0,105","-0,426","-0,086"
110,"-0,402","0,007","-0,037","0,272","0,441","0,019","-0,046","-0,288","-0,011","0,087","0,262","0,204","0,004","0,247","-0,137","-0,272","0,131","0,051","0,100","-0,492","-0,084"
111,"-0,343","-0,002","-0,033","0,254","0,427","0,022","-0,008","-0,235","-0,022","0,119","0,281","0,209","-0,021","0,241","-0,145","-0,299","0,150","0,053","0,046","-0,540","-0,081"
112,"-0,369","0,041","-0,033","0,287","0,435","0,018","-0,013","-0,220","-0,021","0,118","0,285","0,214","-0,035","0,197","-0,150","-0,295","0,184","0,055","0,067","-0,544","-0,080"
113,"-0,395","0,069","-0,034","0,327","0,384","0,012","0,007","-0,218","-0,017","0,144","0,341","0,217","-0,035","0,163","-0,149","-0,263","0,166","0,058","0,069","-0,513","-0,082"
114,"-0,362","0,122","-0,037","0,353","0,345","0,012","0,049","-0,244","-0,017","0,196","0,342","0,223","0,000","0,109","-0,152","-0,270","0,131","0,061","0,069","-0,446","-0,083"
115,"-0,364","0,189","-0,038","0,325","0,329","0,015","0,015","-0,296","-0,022","0,237","0,367","0,227","0,007","0,104","-0,154","-0,268","0,097","0,064","0,043","-0,397","-0,084"
116,"-0,363","0,214","-0,036","0,291","0,316","0,013","0,021","-0,325","-0,025","0,258","0,346","0,229","0,034","0,061","-0,156","-0,274","0,061","0,068","0,030","-0,330","-0,080"
117,"-0,305","0,198","-0,036","0,253","0,323","0,010","0,037","-0,332","-0,024","0,215","0,397","0,231","0,032","0,058","-0,163","-0,299","0,036","0,071","0,010","-0,337","-0,074"
118,"-0,375","0,185","-0,045","0,218","0,383","0,011","-0,005","-0,358","-0,016","0,171","0,363","0,236","0,056","0,103","-0,168","-0,323","0,063","0,073","0,014","-0,377","-0,071"
119,"-0,358","0,187","-0,049","0,230","0,386","0,018","-0,005","-0,363","-0,018","0,184","0,347","0,238","0,004","0,121","-0,166","-0,308","0,095","0,073","-0,006","-0,399","-0,075"
