Index,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z
99,"0,006","0,428","0,438","-1,310","0,072","1,361","0,267","-0,400","-3,422","0,140","0,353","-0,025","-0,148","0,420","0,110","-0,363","-0,180","1,049","0,456","0,806","1,418"
100,"-0,006","0,682","0,485","-1,407","-0,216","1,662","0,480","-0,576","-3,945","0,201","0,110","-0,149","0,107","0,446","-0,386","-0,177","-0,138","0,922","-0,520","1,129","1,939"
101,"0,179","0,610","0,446","-1,594","0,076","1,583","0,483","-0,703","-3,993","-0,132","0,331","-0,207","-0,461","0,801","0,464","0,011","-0,125","0,615","-1,069","0,858","1,801"
102,"0,167","0,625","0,362","-1,348","-0,086","-0,262","0,365","-0,528","-4,079","-0,369","-0,077","-0,274","-0,761","0,694","0,230","-0,171","-0,246","0,631","-0,825","0,809","1,146"
103,"0,046","0,377","0,246","-1,219","-0,341","-1,417","0,027","-0,347","-3,503","0,069","-0,049","0,007","-0,867","0,493","-0,479","-0,295","-0,237","0,689","-1,008","0,678","0,463"
104,"0,211","0,490","0,154","-0,655","0,017","-1,337","-0,315","-0,342","-2,847","0,152","-0,167","0,100","-0,575","0,539","0,077","-0,536","-0,256","0,564","0,150","0,108","0,130"
105,"0,151","0,485","0,162","-0,706","0,308","-0,654","-0,240","-0,134","-2,004","0,133","0,143","0,113","-0,426","0,425","-1,140","-0,411","-0,345","0,395","0,698","-0,082","0,019"
106,"-0,078","0,454","0,278","-0,041","0,493","-0,138","-0,362","-0,074","-2,017","0,134","0,026","0,043","-0,301","0,282","-1,233","-0,226","-0,354","0,338","0,089","-0,137","0,046"
107,"0,095","0,636","0,285","-0,176","0,342","0,379","-0,731","-0,009","-1,983","0,173","0,327","0,072","-0,355","0,630","1,183","0,078","-0,172","0,315","-0,460","0,102","0,812"
108,"-0,090","0,708","0,324","0,017","0,069","0,515","-0,700","0,168","-1,447","0,223","0,360","-0,090","-0,254","0,686","2,107","0,319","0,098","0,463","-0,520","0,209","1,168"
109,"0,408","0,403","0,199","0,451","-0,091","0,589","-0,761","0,278","-0,356","-0,022","0,112","-0,264","0,184","0,713","1,614","0,380","0,098","0,464","-0,765","0,267","0,732"
110,"0,019","0,731","0,225","0,176","-0,377","0,326","-0,795","0,157","0,268","-0,266","0,415","-0,139","-0,330","0,468","0,035","0,499","0,118","0,587","-0,460","0,161","0,376"
111,"-0,448","0,359","0,225","0,784","0,001","0,847","-0,764","0,224","-0,290","0,046","0,621","0,001","-0,296","0,295","-1,484","0,564","0,089","0,407","-0,155","0,432","0,515"
112,"-0,384","0,278","0,202","0,515","0,624","1,764","-0,582","0,174","-1,379","0,133","0,143","0,113","-0,172","0,152","-1,578","0,197","0,037","0,470","-0,033","0,218","0,077"
113,"-0,275","0,660","0,298","-0,410","0,191","0,518","-0,362","0,047","-2,030","-0,207","0,163","-0,035","-0,757","0,288","0,060","-0,232","-0,065","0,601","-0,034","-0,105","-0,444"
114,"-0,135","0,006","0,074","-0,300","-0,509","-1,391","-0,156","-0,005","-1,338","0,102","-0,201","0,262","-1,090","0,473","1,322","-0,293","-0,066","0,600","0,027","-0,320","-0,882"
115,"0,029","-0,001","-0,084","-0,272","-0,800","-1,684","0,244","-0,196","-0,805","-0,215","-0,056","0,331","-0,672","0,556","1,750","-0,537","-0,187","0,614","-0,399","-0,166","0,265"
116,"0,199","0,146","-0,126","-0,765","-0,173","-0,551","0,332","-0,134","-0,193","-0,662","0,075","-0,058","-0,554","0,460","1,896","-0,532","-0,104","0,354","-0,459","0,580","2,343"
117,"-0,075","0,010","0,066","-0,937","0,063","0,163","0,213","-0,080","-0,266","-0,787","0,000","0,118","-0,741","0,435","2,083","-0,960","-0,156","0,416","-0,946","1,095","2,839"
118,"-0,107","0,209","-0,071","-0,997","0,143","0,788","0,105","-0,045","-0,521","-0,524","0,182","0,192","-0,470","0,261","0,880","-1,140","-0,246","0,241","-0,825","0,265","1,005"
119,"-0,367","0,616","0,038","-1,501","0,228","1,264","0,068","0,033","-0,961","-0,784","-0,360","0,136","-0,219","0,382","0,551","-0,958","-0,115","0,286","-0,521","0,353","0,214"
120,"-0,359","0,686","0,138","-1,475","0,190","1,532","-0,041","0,008","-1,210","-1,608","-0,762","-0,114","-0,072","0,698","2,170","-0,834","-0,134","0,168","0,272","0,628","-0,056"
121,"-0,283","0,591","0,199","-1,004","0,396","1,932","-0,315","0,122","-0,684","-0,781","-0,178","0,681","-0,076","0,793","2,338","-0,586","0,019","-0,037","0,638","0,356","-0,195"
122,"-0,339","0,741","0,322","-0,598","0,311","1,079","-0,271","0,154","-0,378","-0,959","-0,721","0,789","-0,143","0,912","2,624","-0,162","0,039","0,092","0,698","-0,078","-0,526"
123,"-0,139","0,330","0,220","-0,470","-0,095","1,202","-0,298","0,203","0,107","-2,335","-1,503","0,471","0,419","0,425","2,049","0,138","0,259","0,310","-0,216","0,219","-0,060"
