Index,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z
113,"0,240","0,023","-0,027","-0,130","0,023","-0,578","0,443","0,151","-0,061","-0,021","-0,058","0,020","0,192","0,130","0,079","0,293","0,028","-0,065","0,244","-0,252","-0,005"
114,"0,183","-0,012","-0,039","-0,148","-0,002","-0,580","0,447","0,141","-0,060","-0,066","-0,018","0,026","0,202","0,136","0,087","0,240","0,038","-0,061","0,258","-0,290","-0,009"
115,"0,186","-0,014","-0,054","-0,177","-0,018","-0,581","0,508","0,152","-0,063","-0,058","-0,010","0,032","0,234","0,112","0,095","0,250","0,059","-0,057","0,259","-0,325","-0,013"
116,"0,228","0,037","-0,071","-0,146","-0,009","-0,584","0,513","0,112","-0,072","0,000","-0,040","0,038","0,247","0,138","0,107","0,287","0,001","-0,049","0,325","-0,299","-0,013"
117,"0,199","0,039","-0,090","-0,166","-0,039","-0,588","0,477","0,152","-0,084","-0,027","-0,039","0,044","0,221","0,134","0,120","0,283","0,064","-0,041","0,279","-0,339","-0,011"
118,"0,187","0,084","-0,105","-0,187","-0,009","-0,591","0,525","0,154","-0,094","-0,030","-0,099","0,047","0,262","0,141","0,129","0,232","0,043","-0,033","0,289","-0,283","-0,008"
119,"0,194","0,092","-0,107","-0,162","-0,020","-0,595","0,514","0,141","-0,107","0,032","-0,085","0,042","0,279","0,119","0,140","0,250","0,044","-0,035","0,329","-0,263","-0,004"
120,"0,190","0,055","-0,096","-0,190","-0,048","-0,599","0,499","0,073","-0,117","-0,025","-0,045","0,029","0,263","0,189","0,149","0,257","0,080","-0,037","0,296","-0,258","-0,002"
121,"0,190","0,113","-0,084","-0,205","-0,016","-0,605","0,495","0,067","-0,120","-0,066","-0,105","0,014","0,206","0,187","0,157","0,261","0,059","-0,042","0,309","-0,210","-0,003"
122,"0,228","0,057","-0,078","-0,214","0,017","-0,609","0,429","0,065","-0,125","-0,056","-0,113","0,005","0,156","0,170","0,168","0,325","0,083","-0,048","0,267","-0,181","-0,005"
