Index,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z
817,"0,997","0,025","-0,039","-0,065","0,996","-0,083","0,020","0,004","0,999","0,012","0,015","0,046","0,793","-0,600","0,086","-0,064","0,998","0,056","-0,004","-0,002","0,999","0,042","-0,002","-0,005","0,808","-0,585","-0,048","0,059"
818,"0,997","0,021","-0,039","-0,065","0,995","-0,093","0,021","0,005","0,999","0,009","0,016","0,047","0,800","-0,590","0,086","-0,065","0,998","0,057","-0,005","-0,002","0,999","0,042","-0,001","-0,005","0,812","-0,579","-0,046","0,057"
819,"0,997","0,018","-0,039","-0,066","0,994","-0,103","0,021","0,005","0,999","0,006","0,016","0,048","0,807","-0,581","0,087","-0,066","0,998","0,057","-0,005","-0,002","0,999","0,043","0,000","-0,004","0,817","-0,572","-0,043","0,055"
820,"0,997","0,014","-0,040","-0,066","0,993","-0,112","0,021","0,005","0,999","0,003","0,017","0,050","0,813","-0,572","0,086","-0,066","0,998","0,058","-0,006","-0,002","0,999","0,043","0,001","-0,004","0,822","-0,566","-0,040","0,053"
821,"0,997","0,011","-0,040","-0,067","0,992","-0,122","0,021","0,005","0,999","0,001","0,017","0,052","0,819","-0,564","0,085","-0,066","0,998","0,059","-0,007","-0,002","0,999","0,044","0,002","-0,004","0,827","-0,559","-0,037","0,051"
822,"0,997","0,008","-0,041","-0,069","0,991","-0,131","0,021","0,005","0,998","-0,001","0,017","0,053","0,824","-0,556","0,084","-0,065","0,998","0,059","-0,007","-0,002","0,999","0,044","0,003","-0,004","0,832","-0,552","-0,035","0,050"
823,"0,997","0,005","-0,042","-0,071","0,990","-0,141","0,021","0,005","0,998","-0,004","0,017","0,053","0,829","-0,549","0,081","-0,065","0,998","0,060","-0,007","-0,002","0,999","0,045","0,004","-0,004","0,837","-0,545","-0,033","0,048"
824,"0,996","0,003","-0,043","-0,073","0,988","-0,150","0,021","0,005","0,998","-0,007","0,018","0,054","0,834","-0,542","0,078","-0,063","0,998","0,060","-0,009","-0,002","0,999","0,046","0,004","-0,004","0,841","-0,538","-0,031","0,047"
825,"0,996","0,000","-0,043","-0,074","0,987","-0,159","0,021","0,005","0,998","-0,009","0,018","0,054","0,839","-0,536","0,075","-0,061","0,998","0,061","-0,009","-0,002","0,999","0,046","0,005","-0,005","0,846","-0,531","-0,029","0,045"
826,"0,996","-0,002","-0,043","-0,074","0,986","-0,167","0,022","0,004","0,998","-0,012","0,018","0,055","0,843","-0,529","0,072","-0,060","0,998","0,061","-0,010","-0,002","0,999","0,046","0,005","-0,005","0,850","-0,524","-0,027","0,043"
827,"0,996","-0,005","-0,043","-0,075","0,984","-0,174","0,023","0,003","0,998","-0,014","0,019","0,054","0,848","-0,521","0,070","-0,059","0,998","0,061","-0,010","-0,002","0,999","0,047","0,005","-0,005","0,855","-0,517","-0,025","0,041"
828,"0,996","-0,007","-0,043","-0,075","0,983","-0,182","0,023","0,002","0,998","-0,016","0,019","0,054","0,853","-0,514","0,068","-0,059","0,998","0,061","-0,010","-0,003","0,999","0,047","0,005","-0,005","0,859","-0,510","-0,022","0,039"
829,"0,996","-0,009","-0,043","-0,074","0,982","-0,189","0,023","0,001","0,998","-0,018","0,019","0,054","0,858","-0,506","0,067","-0,059","0,998","0,061","-0,010","-0,003","0,999","0,047","0,005","-0,005","0,864","-0,502","-0,020","0,037"
830,"0,996","-0,011","-0,043","-0,074","0,980","-0,196","0,023","0,000","0,998","-0,020","0,020","0,054","0,863","-0,498","0,065","-0,058","0,998","0,061","-0,011","-0,003","0,999","0,048","0,005","-0,005","0,868","-0,495","-0,018","0,036"
831,"0,996","-0,014","-0,043","-0,073","0,979","-0,203","0,023","-0,001","0,998","-0,022","0,019","0,054","0,867","-0,490","0,063","-0,058","0,998","0,061","-0,011","-0,003","0,999","0,048","0,005","-0,005","0,872","-0,487","-0,015","0,034"
