Index,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z
1248,"-0,080","-0,923","0,621","-0,028","-0,136","0,999","-0,093","-0,006","0,998","0,009","0,399","0,941","0,036","0,005","0,938","-0,322","-0,959","0,121","-0,083","-0,030","1,031"
1249,"-0,079","-0,929","0,621","-0,027","-0,137","0,994","-0,103","-0,008","0,997","0,012","0,394","0,935","0,026","-0,002","0,949","-0,327","-0,977","0,122","-0,062","-0,009","1,023"
1250,"-0,075","-0,929","0,618","-0,026","-0,146","0,993","-0,102","-0,018","0,993","0,017","0,395","0,934","0,033","0,000","0,945","-0,326","-0,974","0,106","-0,057","-0,024","1,016"
1251,"-0,068","-0,931","0,625","-0,027","-0,133","0,992","-0,091","-0,020","0,988","0,021","0,401","0,925","0,035","0,000","0,942","-0,316","-0,974","0,104","-0,058","-0,026","1,012"
1252,"-0,071","-0,935","0,623","-0,028","-0,137","0,993","-0,083","-0,018","0,989","0,029","0,395","0,930","0,046","0,005","0,942","-0,305","-0,986","0,112","-0,050","-0,042","1,010"
1253,"-0,069","-0,932","0,626","-0,035","-0,131","1,000","-0,072","-0,020","1,001","0,029","0,392","0,936","0,044","0,007","0,941","-0,306","-0,992","0,114","-0,041","-0,034","1,013"
1254,"-0,073","-0,947","0,622","-0,035","-0,138","0,997","-0,065","-0,033","0,998","0,024","0,396","0,931","0,050","0,011","0,941","-0,318","-0,993","0,114","-0,043","-0,035","1,014"
1255,"-0,075","-0,942","0,617","-0,039","-0,136","1,001","-0,085","-0,027","1,001","0,021","0,400","0,929","0,052","0,007","0,938","-0,343","-0,996","0,101","-0,051","-0,042","1,018"
1256,"-0,083","-0,948","0,615","-0,044","-0,139","1,003","-0,091","-0,037","1,003","0,016","0,392","0,926","0,038","0,008","0,932","-0,371","-0,999","0,093","-0,063","-0,068","1,019"
1257,"-0,088","-0,947","0,614","-0,043","-0,125","1,006","-0,083","-0,052","1,000","0,014","0,392","0,922","0,051","0,001","0,939","-0,382","-0,996","0,091","-0,071","-0,086","1,014"
1258,"-0,088","-0,946","0,608","-0,042","-0,130","1,004","-0,090","-0,055","1,004","0,013","0,389","0,917","0,054","0,003","0,939","-0,390","-0,999","0,095","-0,068","-0,089","1,016"
1259,"-0,099","-0,946","0,610","-0,039","-0,135","1,005","-0,079","-0,054","1,004","0,013","0,396","0,910","0,057","0,005","0,937","-0,385","-0,997","0,092","-0,069","-0,088","1,024"
1260,"-0,100","-0,942","0,609","-0,037","-0,137","1,006","-0,069","-0,065","1,009","0,010","0,393","0,905","0,060","0,004","0,936","-0,377","-0,994","0,089","-0,059","-0,089","1,026"
1261,"-0,108","-0,941","0,606","-0,042","-0,127","1,007","-0,064","-0,050","1,005","0,011","0,389","0,910","0,061","0,010","0,938","-0,390","-0,980","0,099","-0,035","-0,079","1,016"
1262,"-0,106","-0,931","0,596","-0,051","-0,126","1,007","-0,096","-0,053","1,007","0,014","0,386","0,906","0,041","0,001","0,937","-0,402","-0,972","0,107","-0,025","-0,080","1,009"
1263,"-0,110","-0,933","0,600","-0,052","-0,128","1,005","-0,105","-0,041","1,003","0,022","0,384","0,905","0,044","0,000","0,943","-0,409","-0,977","0,100","-0,028","-0,080","1,008"
1264,"-0,104","-0,929","0,598","-0,056","-0,131","1,001","-0,124","-0,014","0,994","0,020","0,372","0,905","0,021","-0,013","0,962","-0,411","-0,960","0,094","-0,050","-0,072","1,006"
1265,"-0,102","-0,923","0,597","-0,049","-0,132","0,997","-0,154","-0,042","0,992","0,023","0,373","0,904","0,025","-0,015","0,945","-0,403","-0,948","0,100","-0,077","-0,077","0,997"
1266,"-0,103","-0,926","0,594","-0,048","-0,136","0,992","-0,118","-0,016","0,985","0,027","0,376","0,906","0,038","0,002","0,944","-0,402","-0,931","0,116","-0,102","-0,068","1,011"
1267,"-0,099","-0,926","0,592","-0,045","-0,137","0,992","-0,115","-0,024","0,999","0,036","0,373","0,910","0,035","-0,003","0,946","-0,397","-0,921","0,119","-0,114","-0,052","1,032"
1268,"-0,099","-0,920","0,589","-0,046","-0,139","0,995","-0,099","-0,013","0,993","0,047","0,375","0,916","0,038","-0,002","0,941","-0,390","-0,918","0,132","-0,102","-0,056","1,018"
1269,"-0,099","-0,916","0,586","-0,043","-0,137","0,992","-0,106","-0,007","0,991","0,052","0,380","0,914","0,039","-0,003","0,942","-0,389","-0,908","0,129","-0,084","-0,034","1,017"
1270,"-0,097","-0,916","0,594","-0,045","-0,137","0,996","-0,118","-0,015","0,992","0,065","0,372","0,914","0,033","-0,006","0,946","-0,391","-0,896","0,130","-0,079","-0,038","1,017"
1271,"-0,093","-0,910","0,592","-0,044","-0,137","0,996","-0,111","-0,013","0,988","0,070","0,373","0,918","0,041","0,006","0,939","-0,396","-0,898","0,137","-0,075","-0,042","1,011"
1272,"-0,098","-0,914","0,591","-0,043","-0,137","0,994","-0,109","-0,017","0,991","0,067","0,371","0,917","0,035","0,000","0,942","-0,397","-0,896","0,148","-0,071","-0,039","1,010"
1273,"-0,092","-0,914","0,598","-0,042","-0,133","0,994","-0,100","-0,024","0,988","0,070","0,381","0,912","0,044","0,000","0,942","-0,386","-0,894","0,153","-0,079","-0,041","1,009"
1274,"-0,093","-0,912","0,608","-0,034","-0,135","0,997","-0,096","-0,029","0,998","0,057","0,382","0,918","0,043","0,001","0,942","-0,377","-0,901","0,148","-0,079","-0,049","1,015"
1275,"-0,093","-0,916","0,602","-0,035","-0,134","0,996","-0,098","-0,029","1,001","0,056","0,388","0,918","0,038","0,001","0,941","-0,382","-0,914","0,143","-0,078","-0,065","1,021"
1276,"-0,093","-0,917","0,608","-0,040","-0,130","0,999","-0,109","-0,031","0,996","0,049","0,385","0,916","0,044","0,003","0,939","-0,380","-0,930","0,144","-0,075","-0,062","1,015"
1277,"-0,093","-0,921","0,615","-0,039","-0,127","0,999","-0,116","-0,028","0,996","0,043","0,389","0,907","0,040","-0,003","0,946","-0,385","-0,934","0,130","-0,078","-0,067","1,015"
1278,"-0,090","-0,916","0,613","-0,044","-0,132","1,000","-0,120","-0,035","0,993","0,034","0,388","0,910","0,043","-0,004","0,947","-0,388","-0,936","0,127","-0,086","-0,071","1,014"
1279,"-0,094","-0,913","0,607","-0,044","-0,127","1,001","-0,109","-0,022","0,992","0,029","0,389","0,907","0,033","-0,003","0,946","-0,376","-0,949","0,126","-0,081","-0,074","1,009"
1280,"-0,086","-0,915","0,616","-0,043","-0,130","1,002","-0,123","-0,037","0,993","0,028","0,389","0,907","0,035","-0,006","0,940","-0,371","-0,948","0,127","-0,088","-0,070","1,013"
1281,"-0,085","-0,919","0,616","-0,045","-0,133","0,999","-0,112","-0,018","0,992","0,027","0,390","0,909","0,041","0,001","0,944","-0,358","-0,945","0,124","-0,094","-0,062","1,012"
1282,"-0,081","-0,914","0,621","-0,047","-0,135","1,000","-0,111","-0,031","0,995","0,025","0,394","0,913","0,045","0,001","0,944","-0,355","-0,946","0,130","-0,089","-0,065","1,023"
1283,"-0,081","-0,915","0,619","-0,042","-0,140","0,995","-0,109","-0,032","0,995","0,037","0,398","0,913","0,042","0,000","0,944","-0,348","-0,956","0,131","-0,079","-0,060","1,017"
1284,"-0,075","-0,909","0,624","-0,041","-0,137","0,991","-0,102","-0,019","0,993","0,038","0,395","0,917","0,044","-0,002","0,943","-0,348","-0,952","0,133","-0,072","-0,058","1,015"
1285,"-0,068","-0,918","0,625","-0,042","-0,137","0,989","-0,102","-0,016","0,993","0,041","0,399","0,913","0,041","-0,001","0,946","-0,342","-0,950","0,129","-0,075","-0,044","1,012"
1286,"-0,069","-0,915","0,629","-0,040","-0,140","0,988","-0,113","-0,019","0,994","0,045","0,397","0,914","0,046","-0,002","0,947","-0,331","-0,944","0,131","-0,078","-0,054","1,013"
1287,"-0,067","-0,908","0,627","-0,037","-0,133","0,987","-0,123","-0,014","0,995","0,048","0,399","0,911","0,035","0,000","0,945","-0,323","-0,957","0,136","-0,078","-0,053","1,016"
1288,"-0,061","-0,910","0,628","-0,037","-0,132","0,987","-0,121","-0,033","0,993","0,061","0,393","0,912","0,050","0,001","0,946","-0,313","-0,956","0,132","-0,097","-0,048","1,010"
1289,"-0,051","-0,914","0,633","-0,036","-0,130","0,988","-0,114","-0,020","0,999","0,058","0,392","0,914","0,041","0,000","0,945","-0,312","-0,952","0,136","-0,096","-0,050","1,014"
1290,"-0,052","-0,900","0,625","-0,033","-0,132","0,986","-0,107","-0,021","0,995","0,056","0,391","0,912","0,043","0,000","0,941","-0,316","-0,952","0,130","-0,093","-0,042","1,021"
1291,"-0,048","-0,915","0,630","-0,037","-0,134","0,993","-0,079","-0,022","0,988","0,054","0,406","0,913","0,047","0,011","0,938","-0,308","-0,956","0,127","-0,078","-0,042","1,014"
1292,"-0,050","-0,910","0,634","-0,035","-0,129","0,996","-0,080","-0,009","0,989","0,042","0,399","0,926","0,059","0,013","0,943","-0,300","-0,943","0,132","-0,061","-0,037","1,005"
1293,"-0,056","-0,909","0,625","-0,035","-0,125","1,004","-0,115","-0,012","1,000","0,043","0,401","0,929","0,051","0,010","0,946","-0,296","-0,941","0,139","-0,049","-0,047","1,014"
1294,"-0,057","-0,913","0,627","-0,037","-0,128","1,004","-0,121","-0,028","0,997","0,040","0,397","0,927","0,051","0,010","0,940","-0,296","-0,946","0,137","-0,063","-0,048","1,013"
1295,"-0,061","-0,913","0,625","-0,030","-0,124","1,015","-0,105","-0,023","0,995","0,040","0,400","0,922","0,052","0,008","0,944","-0,299","-0,942","0,150","-0,074","-0,051","1,013"
1296,"-0,066","-0,913","0,626","-0,022","-0,131","1,008","-0,099","-0,033","1,000","0,042","0,405","0,929","0,053","0,009","0,939","-0,306","-0,940","0,141","-0,084","-0,059","1,013"
1297,"-0,074","-0,913","0,629","-0,026","-0,127","1,011","-0,093","-0,040","1,003","0,035","0,404","0,922","0,059","0,019","0,939","-0,306","-0,948","0,139","-0,076","-0,071","1,017"
1298,"-0,076","-0,915","0,629","-0,021","-0,124","1,008","-0,097","-0,035","1,003","0,028","0,405","0,922","0,059","0,014","0,936","-0,312","-0,947","0,130","-0,059","-0,067","1,016"
1299,"-0,080","-0,916","0,629","-0,025","-0,129","1,003","-0,091","-0,042","1,002","0,020","0,405","0,922","0,059","0,015","0,941","-0,312","-0,953","0,133","-0,060","-0,060","1,012"
1300,"-0,083","-0,915","0,628","-0,028","-0,128","1,000","-0,090","-0,042","1,001","0,016","0,400","0,922","0,063","0,014","0,929","-0,311","-0,955","0,131","-0,053","-0,065","1,011"
1301,"-0,087","-0,912","0,626","-0,030","-0,124","1,002","-0,108","-0,044","1,007","0,023","0,399","0,913","0,049","0,009","0,948","-0,322","-0,954","0,130","-0,056","-0,073","1,013"
1302,"-0,092","-0,921","0,626","-0,035","-0,133","1,006","-0,108","-0,045","0,995","0,027","0,404","0,907","0,059","0,010","0,940","-0,339","-0,953","0,137","-0,073","-0,070","1,013"
1303,"-0,093","-0,914","0,623","-0,038","-0,132","1,003","-0,104","-0,037","0,994","0,024","0,406","0,912","0,051","0,009","0,938","-0,364","-0,954","0,139","-0,079","-0,071","1,018"
1304,"-0,100","-0,917","0,626","-0,038","-0,128","0,999","-0,104","-0,031","1,000","0,028","0,392","0,914","0,062","0,014","0,939","-0,377","-0,946","0,131","-0,067","-0,075","1,020"
1305,"-0,108","-0,913","0,622","-0,037","-0,133","1,001","-0,107","-0,038","0,995","0,025","0,396","0,908","0,052","0,010","0,941","-0,393","-0,945","0,145","-0,062","-0,068","1,015"
1306,"-0,110","-0,910","0,623","-0,041","-0,134","0,998","-0,099","-0,037","0,995","0,023","0,396","0,911","0,063","0,009","0,939","-0,385","-0,946","0,139","-0,060","-0,061","1,015"
1307,"-0,113","-0,914","0,621","-0,044","-0,136","0,994","-0,101","-0,036","0,996","0,024","0,397","0,911","0,062","0,014","0,938","-0,381","-0,937","0,145","-0,067","-0,064","1,011"
