Index,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z
16,"-12,912","-0,331","0,231","12,484","-2,274","0,255","-13,751","-2,336","0,478","-16,723","5,551","1,896","69,031","4,813","-0,216","74,011","13,413","-5,058","-13,067","3,665","0,539"
17,"-13,380","0,108","0,383","12,146","-2,247","0,249","-13,789","-2,277","0,493","-17,241","5,279","1,768","68,949","4,906","-0,376","73,522","13,415","-5,116","-13,109","3,586","0,502"
18,"-12,986","0,447","0,455","11,944","-1,977","0,190","-14,405","-2,222","0,569","-17,122","5,021","1,619","68,372","4,841","-0,342","73,280","13,179","-4,751","-13,624","3,912","0,637"
19,"-13,280","0,277","0,423","12,187","-2,208","0,237","-13,872","-1,865","0,587","-17,158","5,081","1,653","68,910","4,894","-0,356","73,578","13,447","-5,161","-13,154","3,475","0,449"
20,"-13,566","-0,073","0,339","11,847","-2,201","0,234","-13,321","-1,958","0,510","-17,460","5,364","1,826","69,430","4,759","-0,071","72,996","13,375","-5,111","-13,256","3,689","0,548"
21,"-12,949","-0,238","0,249","12,181","-2,195","0,229","-13,033","-2,405","0,392","-16,832","5,449","1,848","69,327","5,096","-0,622","73,597","13,478","-5,214","-12,622","3,794","0,621"
22,"-12,929","-0,130","0,275","11,851","-2,272","0,242","-13,363","-2,039","0,511","-17,473","5,458","1,883","69,186","4,735","-0,066","73,744","13,583","-5,374","-13,266","3,705","0,546"
23,"-13,432","-0,002","0,339","12,139","-2,102","0,203","-13,745","-2,450","0,472","-17,366","5,075","1,665","69,368","5,014","-0,487","73,543","13,475","-5,221","-13,291","3,942","0,652"
24,"-13,487","0,552","0,497","11,839","-2,258","0,232","-14,142","-2,960","0,413","-17,863","4,974","1,632","68,869","5,068","-0,625","73,876","13,308","-4,906","-13,729","4,079","0,697"
25,"-13,261","0,253","0,394","12,154","-2,142","0,204","-14,108","-2,292","0,550","-17,232","4,860","1,542","69,009","4,754","-0,102","73,615","13,513","-5,281","-13,381","3,879","0,610"
26,"-13,242","0,628","0,502","12,131","-1,806","0,129","-13,480","-2,185","0,511","-17,493","4,382","1,279","69,101","4,832","-0,211","73,701","13,263","-4,858","-13,118","4,081","0,712"
27,"-13,289","0,473","0,458","12,063","-2,133","0,197","-13,935","-2,376","0,522","-17,295","4,785","1,495","68,923","4,916","-0,367","73,544","13,425","-5,142","-13,319","4,058","0,694"
28,"-13,602","0,536","0,495","12,386","-2,229","0,215","-13,927","-2,543","0,484","-17,187","5,098","1,660","69,478","4,922","-0,306","73,139","13,308","-4,993","-13,306","4,024","0,682"
29,"-13,451","-0,065","0,316","12,059","-2,308","0,233","-13,755","-2,259","0,519","-17,556","5,458","1,877","69,049","4,709","-0,020","73,586","13,390","-5,072","-13,313","3,969","0,659"
30,"-13,461","-0,055","0,327","12,072","-2,276","0,227","-13,752","-2,237","0,518","-17,520","5,408","1,839","68,998","4,703","-0,017","73,538","13,384","-5,070","-13,271","3,997","0,680"
31,"-13,465","-0,040","0,338","12,078","-2,242","0,219","-13,725","-2,234","0,514","-17,484","5,363","1,807","69,036","4,730","-0,060","73,487","13,366","-5,054","-13,256","4,000","0,688"
32,"-13,403","-0,027","0,339","12,062","-2,272","0,227","-13,748","-2,231","0,517","-17,473","5,372","1,813","69,047","4,756","-0,102","73,508","13,384","-5,082","-13,281","3,943","0,659"
33,"-13,392","-0,035","0,333","12,068","-2,239","0,222","-13,780","-2,238","0,524","-17,435","5,324","1,788","69,026","4,786","-0,155","73,521","13,409","-5,119","-13,299","3,953","0,658"
34,"-13,396","-0,034","0,328","12,042","-2,215","0,221","-13,759","-2,270","0,521","-17,452","5,270","1,768","69,017","4,780","-0,156","73,493","13,417","-5,137","-13,295","3,976","0,663"
35,"-13,367","-0,045","0,319","12,056","-2,245","0,229","-13,782","-2,313","0,520","-17,416","5,276","1,774","69,001","4,792","-0,182","73,530","13,448","-5,182","-13,313","3,960","0,650"
36,"-13,338","-0,025","0,322","12,030","-2,268","0,237","-13,807","-2,286","0,528","-17,443","5,263","1,772","68,946","4,781","-0,172","73,581","13,474","-5,216","-13,330","3,911","0,623"
37,"-13,309","0,001","0,325","12,015","-2,299","0,246","-13,844","-2,306","0,525","-17,461","5,255","1,772","68,936","4,778","-0,173","73,627","13,468","-5,201","-13,374","3,871","0,604"
38,"-13,334","0,059","0,342","11,984","-2,286","0,246","-13,802","-2,346","0,509","-17,493","5,212","1,751","68,944","4,784","-0,187","73,572","13,454","-5,181","-13,398","3,912","0,628"
39,"-13,336","0,049","0,342","11,955","-2,269","0,245","-13,798","-2,323","0,513","-17,499","5,183","1,731","68,962","4,793","-0,205","73,574","13,462","-5,189","-13,456","3,916","0,628"
40,"-13,339","0,048","0,348","11,988","-2,265","0,248","-13,858","-2,290","0,524","-17,438","5,176","1,717","68,911","4,769","-0,174","73,570","13,470","-5,196","-13,451","3,902","0,622"
41,"0,062","0,330","0,000","-0,326","0,052","-0,253","0,226","0,027","0,000","-0,298","-0,358","0,000","0,452","0,061","0,000","-0,243","-0,277","-0,001","-0,264","0,044","0,000"
42,"-0,177","0,274","0,000","-0,110","-0,099","-0,253","0,247","0,003","0,000","-0,321","-0,208","0,000","0,214","0,062","0,000","-0,248","-0,221","0,000","-0,049","-0,082","0,000"
43,"-0,179","0,206","0,000","0,602","-0,155","-0,252","0,087","0,059","0,000","0,391","-0,155","-0,001","0,214","0,005","0,000","-0,250","-0,153","0,000","0,503","-0,134","0,001"
44,"-0,143","0,109","0,000","0,223","-0,153","-0,253","0,226","0,027","0,000","0,048","-0,029","0,000","0,190","0,003","0,000","-0,242","-0,183","0,000","0,286","-0,159","0,000"
45,"-0,089","0,077","0,000","0,373","-0,212","-0,253","0,226","0,027","0,000","0,197","0,030","0,000","0,167","0,000","0,000","-0,189","-0,151","0,000","0,436","-0,217","0,001"
46,"0,032","0,070","0,000","0,223","-0,153","-0,253","0,224","0,009","0,000","0,222","0,010","0,000","0,165","0,011","0,000","-0,137","-0,043","0,000","0,283","-0,172","0,000"
47,"-0,142","0,071","0,000","0,223","-0,153","-0,253","0,172","0,016","0,000","0,048","0,010","0,000","0,072","0,012","0,000","-0,167","-0,043","0,000","0,231","-0,179","0,000"
48,"-0,168","0,113","0,000","0,225","-0,101","-0,253","0,168","-0,061","0,000","0,057","-0,041","0,000","0,142","0,007","0,000","-0,170","0,018","0,000","0,230","-0,128","0,000"
49,"-0,141","0,109","0,000","0,225","-0,101","-0,253","0,066","0,016","0,000","0,049","-0,042","0,000","0,144","-0,070","0,000","-0,135","-0,081","0,000","0,126","-0,128","0,000"
50,"-0,131","0,095","0,000","0,223","-0,100","-0,253","0,170","0,016","0,000","0,056","-0,010","0,000","0,168","-0,070","0,000","-0,122","0,003","0,000","0,229","-0,126","0,000"
51,"0,491","-0,137","-0,003","-0,061","0,088","-0,252","-0,511","0,057","0,003","0,114","-0,172","0,004","-0,211","0,305","0,000","0,367","0,481","0,000","-0,395","-0,012","-0,003"
52,"-0,152","0,098","-0,007","-0,272","-0,184","-0,253","0,009","0,500","0,007","-0,425","0,007","0,006","0,182","-0,234","-0,003","-0,134","0,052","0,003","-0,344","-0,506","-0,006"
53,"-0,157","0,152","-0,007","0,060","-0,094","-0,253","-0,515","0,257","0,007","0,242","-0,156","0,003","-0,107","-0,268","-0,002","-0,146","-0,032","0,003","-0,356","-0,462","-0,009"
54,"-0,159","0,087","-0,003","-0,126","-0,383","-0,255","-0,026","0,484","0,013","-0,284","0,143","0,001","0,061","-0,230","-0,001","-0,104","-0,150","0,002","-0,208","-0,673","-0,013"
55,"-0,010","0,240","0,000","0,149","-0,182","-0,257","0,191","0,066","0,014","0,294","0,095","-0,006","0,120","0,395","-0,002","-0,279","-0,799","0,000","0,396","-0,378","-0,009"
56,"-0,182","-0,247","0,001","-0,175","-0,068","-0,258","0,309","0,098","0,012","-0,333","0,150","-0,006","0,133","-0,290","-0,001","0,047","-0,198","0,000","0,213","0,046","-0,006"
57,"0,127","0,354","0,002","0,172","-0,044","-0,259","0,156","-0,142","0,014","0,220","-0,150","-0,008","-0,014","-0,062","-0,002","0,047","-0,196","0,001","0,212","0,031","-0,008"
58,"0,079","0,421","-0,002","-0,164","0,018","-0,259","0,260","0,524","0,022","0,146","-0,428","-0,007","0,416","-0,218","0,000","-0,526","-0,266","0,002","-0,149","-0,255","-0,013"
59,"-0,287","0,398","-0,003","0,069","-0,234","-0,260","0,247","0,544","0,025","0,212","0,125","-0,011","-0,238","-0,112","0,000","-0,429","-0,369","0,003","0,382","-0,673","-0,016"
60,"-0,275","-0,004","0,001","-0,021","0,098","-0,261","-0,300","0,677","0,024","-0,154","0,002","-0,013","-0,144","-0,507","0,003","-0,072","0,160","0,005","-0,034","-0,212","-0,022"
61,"-0,186","-0,087","0,000","0,187","0,374","-0,261","-0,166","0,272","0,027","0,334","-0,479","-0,011","-0,156","-0,310","0,004","-0,332","0,108","0,007","-0,016","0,354","-0,025"
