Index,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z
1928,"0,332","-1,522","-7,033","-0,992","-1,232","-4,210","-0,089","2,724","-3,307","-0,548","-3,386","-9,796","-1,448","3,790","-1,979","2,623","5,494","-1,470","-0,431","-3,028","-2,049"
1929,"0,028","-1,303","-6,268","-0,890","-1,313","-4,511","-0,207","3,155","-3,348","-0,151","-2,917","-8,496","-2,212","4,513","-1,307","1,671","4,334","-1,368","-0,221","-2,841","-1,751"
1930,"0,088","-0,933","-4,910","-1,072","-1,192","-4,531","-0,203","3,288","-3,320","-0,173","-2,083","-6,994","-1,651","4,470","-1,244","0,747","2,828","-1,314","-0,196","-2,545","-1,506"
1931,"0,211","-0,326","-2,730","-1,080","-1,047","-4,697","-0,332","3,495","-3,492","-0,308","-1,335","-4,980","-1,667","3,896","-1,668","-0,551","0,797","-1,081","-0,256","-2,595","-1,469"
1932,"-0,646","0,211","0,647","-0,890","-0,901","-4,622","-0,640","3,957","-3,656","-0,913","-0,224","-2,239","-1,622","3,646","-1,945","-1,628","-1,392","-1,309","-0,215","-2,569","-1,776"
1933,"-0,708","0,965","3,749","-0,559","-0,618","-4,277","-0,761","4,313","-3,741","-1,572","0,865","0,892","-1,719","4,353","-1,968","-2,545","-2,535","-0,834","-0,327","-2,868","-2,373"
1934,"-0,525","1,460","5,451","-0,775","-0,504","-3,851","-0,982","4,645","-3,435","-1,653","1,536","2,585","-2,405","5,082","-1,745","-3,318","-3,637","-0,901","-0,374","-3,004","-3,867"
1935,"-0,034","2,197","6,933","-1,049","-0,254","-3,394","-1,272","4,475","-3,120","-0,552","1,477","2,820","-3,591","5,059","-1,354","-3,983","-4,841","-0,954","-0,723","-3,288","-5,243"
1936,"0,275","3,499","9,767","-1,083","-0,083","-2,995","-1,576","4,362","-3,071","-0,213","1,054","1,690","-3,424","4,136","-1,338","-4,943","-6,205","-0,932","-1,054","-3,391","-6,445"
1937,"0,400","5,459","15,089","-1,342","0,171","-2,287","-1,740","4,146","-2,689","1,117","0,855","1,196","-2,828","3,705","-1,092","-6,350","-9,778","-0,878","-1,167","-3,243","-7,247"
1938,"-0,270","6,856","20,098","-1,494","0,300","-1,806","-1,912","3,959","-2,440","1,866","1,267","1,781","-2,577","3,104","-0,711","-7,081","-11,739","-0,841","-1,285","-3,104","-7,251"
1939,"-1,006","5,431","16,920","-1,456","0,577","-1,250","-2,133","3,524","-1,934","0,348","2,425","4,588","-3,474","2,805","-0,009","-4,289","-8,574","-1,075","-1,576","-2,393","-6,443"
1940,"0,812","0,718","4,878","-0,889","0,470","-0,942","-2,339","3,091","-1,177","-1,016","2,495","6,592","-3,950","2,290","0,515","-1,616","-2,070","-0,733","-1,688","-1,405","-4,959"
1941,"1,357","-3,464","-8,397","-0,402","0,168","-0,892","-2,607","2,659","-0,416","-0,447","1,120","5,382","-3,569","1,154","0,730","0,695","0,389","-0,214","-1,783","-0,632","-3,128"
1942,"1,178","-4,122","-12,834","-0,463","-0,243","-0,777","-2,878","2,212","0,286","-0,646","0,087","2,011","-3,089","0,228","0,799","1,986","3,416","-0,113","-1,680","0,128","-1,091"
1943,"1,363","-2,798","-8,708","-0,752","-0,469","-0,444","-2,988","1,788","0,593","-0,435","-1,124","-2,141","-2,363","-0,583","0,334","2,600","4,188","0,402","-1,117","0,579","0,667"
1944,"0,935","-1,370","-3,255","-1,166","-0,474","-0,226","-3,153","1,396","1,021","-0,341","-2,691","-5,740","-2,502","-0,757","0,093","2,510","4,661","0,269","-0,837","0,748","1,977"
1945,"0,690","-1,064","-1,548","-1,817","-0,325","0,092","-3,232","1,025","0,807","0,130","-2,820","-6,558","-3,540","-0,467","0,266","2,316","3,594","0,186","-0,525","1,170","2,767"
1946,"0,691","-1,368","-3,256","-2,722","-0,160","0,233","-3,144","0,649","0,331","0,340","-1,906","-5,790","-3,479","-0,143","0,413","1,809","2,518","-0,165","-0,401","1,302","2,746"
1947,"0,630","-1,976","-5,436","-2,653","0,047","0,299","-3,056","0,096","-0,099","0,010","-1,137","-4,382","-2,737","-1,021","0,065","0,928","1,599","-0,459","-0,399","1,227","1,929"
1948,"0,752","-1,860","-4,764","-1,744","0,311","0,106","-2,912","0,009","0,294","-0,377","-0,796","-2,523","-3,057","-1,562","0,301","0,250","0,588","-0,350","-0,837","1,120","0,955"
1949,"0,814","-0,487","-0,331","-0,835","0,633","-0,103","-2,772","-0,034","0,612","-0,321","0,010","-0,108","-2,363","-1,380","0,571","-0,449","-0,354","-0,372","-1,044","0,857","-0,160"
1950,"0,877","1,106","4,345","-0,463","0,777","-0,040","-2,517","-0,051","0,789","0,028","0,532","1,902","-1,763","-1,301","0,477","-1,088","-1,063","-0,251","-1,213","0,696","-0,764"
