Index,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z
95,"0,200","-0,003","0,062","0,035","0,032","-0,332","0,097","0,039","-0,004","0,032","-0,298","-0,034","-0,189","-0,152","-0,053","0,296","0,262","-0,112","0,255","0,115","0,066"
96,"0,178","0,009","0,060","0,012","0,011","-0,328","0,160","0,031","-0,009","-0,024","-0,257","-0,032","-0,153","-0,123","-0,049","0,329","0,205","-0,109","0,261","0,100","0,069"
97,"0,156","-0,018","0,057","-0,017","0,001","-0,322","0,145","0,043","-0,014","-0,046","-0,215","-0,028","-0,154","-0,133","-0,045","0,276","0,222","-0,105","0,190","0,098","0,070"
98,"0,095","-0,007","0,050","0,002","-0,032","-0,316","0,183","-0,006","-0,016","-0,062","-0,173","-0,016","-0,146","-0,154","-0,040","0,222","0,218","-0,105","0,218","0,097","0,066"
99,"0,092","-0,003","0,041","0,041","-0,044","-0,309","0,169","-0,013","-0,020","-0,058","-0,165","-0,003","-0,126","-0,096","-0,031","0,272","0,186","-0,102","0,233","0,058","0,060"
100,"0,130","0,031","0,035","0,026","-0,076","-0,303","0,169","0,013","-0,023","-0,065","-0,169","0,007","-0,081","-0,085","-0,025","0,334","0,201","-0,101","0,188","0,008","0,054"
101,"0,179","0,048","0,031","-0,004","-0,084","-0,298","0,180","0,032","-0,030","-0,077","-0,188","0,012","-0,077","-0,110","-0,019","0,332","0,201","-0,096","0,142","-0,029","0,053"
102,"0,170","0,045","0,025","-0,034","-0,092","-0,295","0,202","0,037","-0,033","-0,109","-0,213","0,016","-0,026","-0,077","-0,011","0,348","0,205","-0,088","0,117","-0,070","0,048"
103,"0,166","0,046","0,021","0,001","-0,082","-0,291","0,156","-0,013","-0,036","-0,092","-0,255","0,014","-0,055","-0,016","0,000","0,393","0,246","-0,079","0,120","-0,044","0,039"
104,"0,103","0,007","0,016","0,032","-0,099","-0,288","0,162","-0,011","-0,035","-0,089","-0,213","0,010","-0,031","-0,081","0,009","0,345","0,222","-0,064","0,154","-0,029","0,031"
105,"0,079","-0,009","0,012","0,027","-0,132","-0,287","0,097","-0,053","-0,042","-0,085","-0,153","0,006","-0,051","-0,031","0,020","0,320","0,243","-0,050","0,115","-0,044","0,030"
106,"0,058","-0,030","0,001","0,064","-0,149","-0,283","0,097","-0,037","-0,053","-0,038","-0,106","0,006","-0,054","-0,044","0,030","0,296","0,266","-0,034","0,183","-0,052","0,034"
107,"0,035","-0,037","-0,004","0,102","-0,136","-0,280","0,022","-0,018","-0,063","-0,011","-0,085","0,010","-0,075","-0,101","0,040","0,256","0,258","-0,028","0,182","-0,043","0,036"
108,"0,088","-0,045","0,001","0,138","-0,119","-0,277","0,007","0,012","-0,068","0,047","-0,075","0,012","-0,141","-0,135","0,044","0,279","0,272","-0,033","0,242","-0,049","0,037"
109,"0,097","-0,045","0,004","0,179","-0,115","-0,274","0,066","0,035","-0,072","0,059","-0,070","0,017","-0,080","-0,145","0,048","0,283","0,263","-0,040","0,315","-0,051","0,038"
110,"0,143","-0,030","0,004","0,212","-0,098","-0,272","0,019","0,073","-0,073","0,105","-0,117","0,022","-0,098","-0,186","0,049","0,314","0,241","-0,043","0,335","-0,066","0,038"
111,"0,129","-0,086","0,000","0,185","-0,083","-0,270","-0,019","0,107","-0,071","0,088","-0,099","0,029","-0,163","-0,200","0,045","0,260","0,250","-0,044","0,302","-0,086","0,037"
112,"0,086","-0,046","-0,003","0,155","-0,084","-0,268","0,031","0,154","-0,062","0,049","-0,132","0,032","-0,098","-0,212","0,040","0,244","0,278","-0,045","0,292","-0,112","0,030"
113,"0,129","-0,004","0,000","0,130","-0,067","-0,267","0,044","0,143","-0,054","0,031","-0,184","0,034","-0,097","-0,242","0,034","0,283","0,235","-0,048","0,246","-0,067","0,026"
114,"0,145","0,027","0,010","0,123","-0,036","-0,265","0,063","0,179","-0,051","0,006","-0,245","0,032","-0,066","-0,216","0,028","0,323","0,270","-0,054","0,222","-0,065","0,026"
115,"0,199","0,022","0,019","0,094","-0,044","-0,265","0,083","0,135","-0,047","0,004","-0,251","0,028","-0,038","-0,172","0,026","0,329","0,259","-0,057","0,180","-0,038","0,023"
116,"0,219","-0,036","0,022","0,085","-0,014","-0,265","0,110","0,084","-0,047","-0,006","-0,249","0,022","-0,041","-0,163","0,029","0,384","0,275","-0,052","0,169","0,028","0,021"
117,"0,216","-0,040","0,013","0,075","0,018","-0,266","0,080","0,039","-0,049","-0,031","-0,249","0,020","-0,043","-0,146","0,034","0,379","0,274","-0,040","0,164","0,093","0,019"
118,"0,265","-0,050","0,000","0,046","0,002","-0,267","0,081","0,027","-0,052","-0,039","-0,209","0,019","-0,027","-0,120","0,041","0,426","0,284","-0,025","0,106","0,094","0,018"
119,"0,250","-0,054","-0,011","0,047","0,036","-0,267","0,138","0,045","-0,055","-0,032","-0,210","0,023","0,007","-0,102","0,047","0,387","0,216","-0,014","0,137","0,121","0,018"
120,"0,244","-0,055","-0,019","0,020","0,055","-0,267","0,130","0,039","-0,054","-0,028","-0,236","0,030","-0,005","-0,121","0,049","0,358","0,183","-0,008","0,140","0,139","0,018"
121,"0,189","-0,040","-0,029","0,047","0,030","-0,268","0,114","0,030","-0,056","-0,023","-0,238","0,038","0,035","-0,123","0,053","0,359","0,181","-0,002","0,133","0,094","0,019"
122,"0,175","-0,037","-0,032","0,078","0,007","-0,267","0,067","0,033","-0,062","0,007","-0,250","0,039","-0,008","-0,134","0,059","0,338","0,175","0,005","0,145","0,044","0,020"
123,"0,147","0,000","-0,031","0,119","0,020","-0,266","0,075","0,055","-0,064","0,047","-0,297","0,037","0,003","-0,173","0,064","0,298","0,140","0,007","0,218","0,060","0,017"
124,"0,161","0,011","-0,025","0,161","0,023","-0,266","0,023","0,104","-0,061","0,112","-0,280","0,029","-0,039","-0,231","0,064","0,281","0,146","0,008","0,233","0,041","0,013"
125,"0,180","-0,007","-0,013","0,171","-0,011","-0,265","0,069","0,063","-0,057","0,107","-0,213","0,020","-0,031","-0,165","0,060","0,294","0,161","0,007","0,278","0,018","0,013"
126,"0,124","-0,024","-0,003","0,205","-0,025","-0,265","0,096","0,026","-0,053","0,117","-0,175","0,014","0,023","-0,134","0,055","0,276","0,182","0,003","0,305","0,038","0,014"
127,"0,172","-0,061","0,003","0,199","0,008","-0,265","0,046","-0,004","-0,046","0,124","-0,177","0,012","-0,042","-0,132","0,051","0,324","0,157","-0,001","0,278","0,097","0,012"
