Index,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z
3744,"-0,955","-1,355","1,795","2,103","-2,221","-0,710","0,159","0,061","-0,858","-1,128","-0,064","1,741","1,895","2,141","0,404","-0,273","0,275","-0,061","-0,684","-1,018","0,071"
3745,"-0,954","-1,359","1,799","2,101","-2,227","-0,707","0,175","0,073","-0,863","-1,080","-0,097","1,738","1,878","2,133","0,408","-0,292","0,288","-0,066","-0,656","-1,036","0,073"
3746,"-0,961","-1,340","1,802","2,123","-2,293","-0,710","0,205","0,097","-0,866","-1,028","-0,080","1,738","1,878","2,137","0,411","-0,223","0,276","-0,070","-0,629","-1,054","0,074"
3747,"-1,002","-1,319","1,804","2,084","-2,294","-0,713","0,185","0,090","-0,866","-1,059","-0,139","1,737","1,818","2,166","0,410","-0,254","0,224","-0,073","-0,642","-1,087","0,073"
3748,"-0,998","-1,293","1,805","2,107","-2,361","-0,722","0,173","0,096","-0,862","-1,021","-0,106","1,739","1,826","2,123","0,408","-0,202","0,210","-0,070","-0,613","-1,085","0,073"
3749,"-1,065","-1,294","1,804","2,087","-2,425","-0,729","0,177","0,107","-0,857","-1,061","-0,059","1,739","1,804","2,135","0,407","-0,160","0,173","-0,068","-0,647","-1,066","0,072"
3750,"-1,119","-1,331","1,803","2,125","-2,428","-0,732","0,158","0,085","-0,851","-1,067","-0,004","1,738","1,801","2,123","0,403","-0,148","0,223","-0,058","-0,669","-1,037","0,072"
3751,"-1,078","-1,364","1,800","2,158","-2,392","-0,734","0,170","0,120","-0,843","-1,034","-0,041","1,737","1,821","2,118","0,397","-0,110","0,241","-0,047","-0,636","-1,034","0,071"
3752,"-1,080","-1,383","1,798","2,165","-2,356","-0,734","0,191","0,145","-0,834","-1,031","-0,054","1,735","1,800","2,149","0,394","-0,072","0,197","-0,039","-0,608","-1,018","0,073"
3753,"-1,080","-1,413","1,796","2,163","-2,300","-0,735","0,192","0,150","-0,828","-1,022","-0,070","1,735","1,760","2,194","0,393","-0,099","0,194","-0,033","-0,578","-1,001","0,073"
3754,"-1,092","-1,401","1,794","2,214","-2,261","-0,732","0,243","0,118","-0,829","-0,983","-0,133","1,736","1,754","2,231","0,393","-0,083","0,205","-0,029","-0,558","-1,029","0,073"
3755,"-1,106","-1,337","1,792","2,210","-2,192","-0,726","0,226","0,098","-0,832","-1,001","-0,204","1,736","1,735","2,236","0,395","-0,064","0,193","-0,026","-0,560","-1,063","0,074"
3756,"-1,069","-1,375","1,787","2,151","-2,186","-0,721","0,223","0,140","-0,836","-1,027","-0,194","1,739","1,793","2,269","0,404","-0,064","0,142","-0,031","-0,557","-1,029","0,073"
3757,"-1,030","-1,373","1,785","2,138","-2,130","-0,714","0,219","0,145","-0,843","-0,985","-0,208","1,743","1,774","2,242","0,408","-0,077","0,173","-0,034","-0,535","-1,007","0,073"
3758,"-1,010","-1,408","1,786","2,191","-2,111","-0,709","0,280","0,116","-0,854","-0,970","-0,167","1,745","1,835","2,274","0,415","-0,069","0,118","-0,041","-0,550","-0,976","0,074"
3759,"-0,997","-1,384","1,788","2,231","-2,103","-0,705","0,300","0,106","-0,861","-0,972","-0,225","1,745","1,834","2,280","0,419","-0,129","0,095","-0,048","-0,573","-1,004","0,075"
3760,"-0,997","-1,372","1,791","2,240","-2,065","-0,700","0,309","0,060","-0,869","-0,973","-0,246","1,744","1,834","2,275","0,422","-0,171","0,133","-0,050","-0,608","-1,016","0,077"
3761,"-0,954","-1,339","1,793","2,272","-2,091","-0,699","0,297","0,059","-0,872","-0,928","-0,286","1,741","1,846","2,255","0,426","-0,189","0,122","-0,053","-0,599","-1,051","0,079"
3762,"-0,938","-1,359","1,793","2,274","-2,132","-0,695","0,264","0,031","-0,874","-0,914","-0,227","1,737","1,895","2,215","0,429","-0,143","0,132","-0,055","-0,617","-1,020","0,081"
3763,"-0,953","-1,356","1,794","2,283","-2,173","-0,691","0,273","0,028","-0,875","-0,932","-0,167","1,729","1,864","2,146","0,425","-0,120","0,171","-0,052","-0,611","-0,987","0,084"
3764,"-0,915","-1,350","1,791","2,246","-2,226","-0,688","0,295","0,041","-0,874","-0,949","-0,118","1,723","1,926","2,109","0,427","-0,093","0,203","-0,045","-0,599","-0,956","0,086"
3765,"-0,911","-1,326","1,788","2,221","-2,226","-0,686","0,261","0,020","-0,872","-0,941","-0,088","1,721","1,912","2,114","0,425","-0,115","0,166","-0,042","-0,567","-0,955","0,086"
3766,"-0,907","-1,290","1,788","2,181","-2,282","-0,688","0,273","0,081","-0,866","-0,938","-0,080","1,718","1,859","2,105","0,416","-0,127","0,120","-0,036","-0,537","-0,966","0,086"
3767,"-0,906","-1,279","1,789","2,164","-2,321","-0,694","0,252","0,111","-0,861","-0,939","-0,069","1,718","1,796","2,087","0,406","-0,195","0,136","-0,029","-0,508","-0,960","0,087"
3768,"-0,908","-1,282","1,790","2,164","-2,313","-0,697","0,300","0,147","-0,859","-0,944","-0,067","1,721","1,801","2,067","0,398","-0,196","0,131","-0,022","-0,481","-0,945","0,086"
3769,"-0,963","-1,310","1,791","2,163","-2,317","-0,700","0,315","0,121","-0,858","-1,002","-0,040","1,726","1,798","2,046","0,392","-0,196","0,171","-0,016","-0,504","-0,918","0,085"
3770,"-1,009","-1,309","1,791","2,106","-2,273","-0,699","0,268","0,118","-0,857","-1,067","-0,037","1,729","1,748","2,026","0,386","-0,218","0,138","-0,013","-0,536","-0,898","0,082"
3771,"-1,005","-1,294","1,792","2,161","-2,237","-0,701","0,267","0,112","-0,859","-1,071","-0,089","1,733","1,812","2,037","0,385","-0,181","0,099","-0,010","-0,565","-0,922","0,080"
3772,"-0,993","-1,339","1,794","2,175","-2,166","-0,700","0,274","0,114","-0,858","-1,035","-0,119","1,736","1,795","2,109","0,385","-0,145","0,069","-0,010","-0,535","-0,916","0,080"
