Index,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z
1148,"0,494","-1,568","5,855","-1,183","-0,478","-2,979","-0,628","10,778","-1,825","-0,910","-1,843","-7,670","4,337","-2,198","-2,610","2,270","-1,775","-3,950","-1,865","-2,565","1,015"
1149,"1,149","-1,751","4,909","-1,562","-1,102","-6,064","-0,846","12,400","-2,596","0,092","-1,421","-7,137","4,006","-1,483","-2,137","3,317","-0,439","-5,316","-1,314","-2,437","1,030"
1150,"0,965","-2,928","2,412","-1,971","-1,333","-9,978","-1,572","9,132","-1,496","0,476","-1,033","-7,077","3,507","-0,656","-3,234","4,697","1,264","-5,301","-1,007","-2,069","1,002"
1151,"0,593","-5,052","-1,165","-1,802","-1,076","-6,542","-0,640","1,546","1,038","0,029","-0,825","-6,304","2,910","-0,565","-5,965","4,021","3,565","-5,686","-0,650","-1,528","0,622"
1152,"-0,055","-6,795","-4,117","-1,389","0,977","-1,305","-3,473","-10,214","2,999","-0,575","-0,519","-5,341","2,254","-0,777","-9,946","2,617","3,988","-5,793","-0,354","-0,688","0,180"
1153,"-0,881","-7,266","-6,006","-1,703","0,256","4,393","-3,104","-13,494","1,386","-0,303","-0,381","-2,397","1,425","-1,316","-12,884","1,958","3,421","-5,225","0,247","-0,267","-0,183"
1154,"-0,060","-6,125","-6,744","-1,871","0,683","6,520","0,009","-9,229","1,901","-0,302","0,007","2,166","0,526","-1,657","-13,211","0,422","2,419","-4,492","0,359","0,204","-0,601"
1155,"1,182","-4,445","-6,099","-1,713","0,098","3,298","-0,237","-7,784","2,051","0,457","0,410","5,494","-0,178","-1,557","-10,093","-0,704","1,517","-3,910","0,470","0,555","-0,993"
1156,"1,015","-2,328","-4,055","-1,449","0,111","0,882","-1,516","-9,243","1,812","2,220","1,079","6,626","-1,048","-0,603","-4,945","-1,474","1,528","-3,286","0,457","0,358","-1,325"
1157,"0,192","-0,825","-2,259","-1,166","0,033","0,174","-1,191","-7,969","1,627","2,785","1,186","7,155","-1,868","0,731","0,412","-2,221","2,452","-2,615","0,209","-0,261","-1,306"
