Index,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z
1338,"-0,160","0,414","0,835","-0,157","0,048","0,964","-0,183","-0,004","0,894","-0,102","0,000","0,975","-0,076","-1,045","0,267","-0,374","-0,965","-0,179","-0,071","0,067","0,973"
1339,"-0,174","0,410","0,825","-0,165","0,055","0,967","-0,203","-0,005","0,865","-0,117","0,000","0,982","-0,060","-1,043","0,268","-0,370","-0,947","-0,219","-0,067","0,066","0,967"
1340,"-0,184","0,408","0,817","-0,202","0,071","0,983","-0,250","-0,005","0,762","-0,130","-0,007","0,988","-0,046","-1,040","0,274","-0,332","-0,952","-0,213","-0,070","0,072","0,970"
1341,"-0,185","0,407","0,809","-0,233","0,052","0,976","-0,234","0,047","0,937","-0,154","-0,002","0,995","-0,045","-1,032","0,267","-0,293","-0,953","-0,199","-0,066","0,073","0,974"
1342,"-0,185","0,407","0,798","-0,209","0,068","0,982","-0,091","-0,047","0,893","-0,196","0,013","0,999","-0,061","-1,029","0,269","-0,277","-0,940","-0,197","-0,062","0,069","0,974"
1343,"-0,181","0,415","0,803","-0,222","0,074","0,964","-0,211","0,012","0,938","-0,235","0,019","0,988","-0,068","-1,022","0,268","-0,277","-0,914","-0,203","-0,060","0,065","0,976"
1344,"-0,179","0,426","0,829","-0,185","0,069","0,974","-0,078","0,025","1,016","-0,240","0,034","1,008","-0,100","-1,025","0,263","-0,298","-0,906","-0,187","-0,054","0,058","0,976"
1345,"-0,197","0,424","0,843","-0,162","0,076","0,969","-0,013","-0,069","0,961","-0,224","0,031","1,008","-0,117","-1,032","0,268","-0,319","-0,913","-0,163","-0,045","0,063","0,973"
1346,"-0,239","0,409","0,844","-0,177","0,024","0,978","-0,108","-0,015","1,032","-0,188","0,026","0,999","-0,104","-1,035","0,271","-0,324","-0,930","-0,148","-0,034","0,061","0,977"
1347,"-0,258","0,412","0,847","-0,074","-0,002","0,990","0,075","0,018","1,041","-0,120","0,017","1,023","-0,120","-1,031","0,281","-0,329","-0,933","-0,151","-0,028","0,071","0,987"
1348,"-0,263","0,407","0,849","-0,053","-0,028","1,010","0,088","-0,026","1,046","-0,044","0,022","1,011","-0,129","-1,041","0,285","-0,341","-0,910","-0,170","-0,032","0,075","0,998"
