Index,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z
2174,"-0,160","0,117","0,982","-0,046","0,090","0,999","-0,165","-0,071","0,925","-0,002","0,056","0,992","-0,082","0,001","0,970","0,221","0,040","0,920","-0,107","-0,166","0,969"
2175,"-0,148","0,125","0,962","-0,034","0,088","0,988","-0,161","-0,069","0,934","-0,021","0,048","0,996","-0,069","0,034","0,979","0,246","0,108","0,942","-0,104","-0,153","0,965"
2176,"-0,133","0,132","0,946","-0,018","0,092","0,986","-0,158","-0,067","0,932","-0,021","0,042","0,989","-0,067","0,064","0,993","0,247","0,185","0,949","-0,097","-0,168","0,969"
2177,"-0,124","0,144","0,938","-0,023","0,105","0,990","-0,160","-0,067","0,924","-0,022","0,045","0,986","-0,082","0,069","1,001","0,224","0,203","0,909","-0,094","-0,168","0,968"
2178,"-0,110","0,137","0,949","-0,024","0,101","0,991","-0,157","-0,065","0,930","-0,011","0,056","0,995","-0,069","0,021","1,018","0,137","0,050","0,820","-0,085","-0,164","0,970"
2179,"-0,110","0,140","0,975","-0,032","0,102","0,993","-0,155","-0,059","0,931","0,004","0,061","1,010","-0,060","-0,018","1,022","0,162","-0,156","0,883","-0,082","-0,176","0,972"
2180,"-0,109","0,140","1,006","-0,025","0,103","0,992","-0,158","-0,066","0,923","0,011","0,074","1,010","-0,090","-0,042","1,031","0,189","-0,306","0,997","-0,094","-0,179","0,979"
2181,"-0,105","0,144","1,049","-0,026","0,102","0,986","-0,160","-0,069","0,932","0,009","0,075","0,999","-0,083","-0,051","1,039","0,156","-0,314","1,033","-0,089","-0,173","0,990"
2182,"-0,097","0,165","1,085","-0,035","0,104","0,995","-0,159","-0,064","0,931","-0,005","0,076","0,993","-0,052","-0,055","1,036","0,135","-0,255","0,974","-0,086","-0,167","0,996"
2183,"-0,091","0,190","1,102","-0,058","0,103","1,010","-0,169","-0,048","0,925","-0,008","0,079","1,001","-0,033","-0,042","1,057","0,164","-0,219","0,936","-0,081","-0,167","1,002"
2184,"-0,081","0,198","1,108","-0,052","0,116","0,995","-0,172","-0,069","0,929","-0,031","0,074","1,007","-0,036","-0,020","1,057","0,193","-0,215","0,990","-0,077","-0,166","1,005"
2185,"-0,083","0,222","1,083","-0,046","0,121","0,980","-0,173","-0,063","0,936","-0,045","0,070","1,005","-0,013","-0,005","1,035","0,187","-0,215","1,008","-0,072","-0,178","1,005"
2186,"-0,088","0,223","1,048","-0,051","0,120","0,983","-0,177","-0,059","0,925","-0,056","0,064","1,003","0,007","0,012","1,028","0,201","-0,164","0,957","-0,074","-0,179","1,005"
2187,"-0,072","0,218","1,012","-0,057","0,116","0,995","-0,173","-0,063","0,925","-0,069","0,072","1,002","-0,031","0,024","1,019","0,216","-0,096","0,916","-0,077","-0,175","0,996"
2188,"-0,044","0,206","0,985","-0,057","0,119","0,990","-0,168","-0,071","0,920","-0,070","0,081","1,015","-0,053","0,035","1,021","0,203","-0,068","0,918","-0,091","-0,180","0,989"
2189,"-0,020","0,198","0,987","-0,044","0,112","0,983","-0,171","-0,062","0,929","-0,060","0,083","1,018","-0,070","0,042","1,025","0,196","-0,052","0,936","-0,095","-0,175","0,982"
2190,"-0,006","0,183","1,004","-0,032","0,109","0,993","-0,163","-0,055","0,931","-0,052","0,081","1,018","-0,094","0,037","1,023","0,188","-0,068","0,926","-0,106","-0,175","0,982"
2191,"-0,017","0,158","1,034","-0,030","0,098","0,990","-0,165","-0,068","0,926","-0,041","0,072","1,007","-0,105","0,026","1,027","0,146","-0,073","0,921","-0,106","-0,169","0,974"
2192,"-0,034","0,152","1,037","-0,022","0,094","0,984","-0,170","-0,071","0,922","-0,027","0,065","0,993","-0,090","0,017","1,027","0,147","-0,101","0,910","-0,107","-0,159","0,965"
2193,"-0,044","0,147","1,034","-0,037","0,091","0,989","-0,159","-0,065","0,932","-0,012","0,060","0,988","-0,082","0,016","1,021","0,178","-0,117","0,914","-0,103","-0,156","0,969"
2194,"-0,066","0,144","1,021","-0,042","0,096","0,999","-0,165","-0,064","0,931","0,004","0,042","0,999","-0,076","0,020","1,014","0,166","-0,119","0,927","-0,101","-0,154","0,971"
2195,"-0,083","0,149","0,994","-0,043","0,085","1,003","-0,168","-0,060","0,929","0,005","0,040","1,017","-0,088","0,025","1,008","0,139","-0,096","0,927","-0,099","-0,150","0,982"
2196,"-0,110","0,149","0,989","-0,032","0,087","1,004","-0,162","-0,062","0,929","0,005","0,041","1,025","-0,121","0,020","1,028","0,115","-0,069","0,921","-0,112","-0,151","0,989"
2197,"-0,138","0,152","0,996","-0,021","0,083","0,994","-0,152","-0,067","0,925","0,002","0,046","1,026","-0,143","0,015","1,023","0,075","-0,056","0,918","-0,114","-0,137","0,986"
2198,"-0,157","0,134","0,998","-0,016","0,079","0,997","-0,160","-0,067","0,932","0,005","0,038","1,021","-0,177","0,012","1,008","0,044","-0,068","0,926","-0,103","-0,149","0,989"
2199,"-0,181","0,123","1,003","-0,031","0,089","1,004","-0,161","-0,065","0,931","0,006","0,036","1,006","-0,186","0,020","1,009","0,056","-0,074","0,939","-0,089","-0,148","0,989"
2200,"-0,200","0,130","1,006","-0,024","0,091","0,990","-0,170","-0,059","0,926","0,007","0,034","0,997","-0,162","0,027","1,023","0,025","-0,088","0,998","-0,073","-0,153","0,991"
2201,"-0,205","0,131","1,022","-0,036","0,091","0,989","-0,153","-0,066","0,926","0,004","0,035","0,994","-0,141","0,040","1,019","0,014","-0,139","0,981","-0,068","-0,161","0,999"
2202,"-0,204","0,121","1,032","-0,032","0,101","1,002","-0,152","-0,055","0,931","0,003","0,036","1,007","-0,121","0,048","1,013","0,049","-0,129","1,000","-0,063","-0,162","1,002"
2203,"-0,197","0,126","1,039","-0,026","0,091","1,005","-0,158","-0,061","0,928","-0,001","0,062","1,017","-0,113","0,066","1,008","0,033","-0,085","1,011","-0,060","-0,163","1,009"
