Index,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z
195,"-0,229","-0,018","0,001","-0,002","0,159","-0,151","0,046","-0,235","0,403","0,121","-0,209","-0,049","-0,270","0,106","-0,058","0,295","-0,038","-0,002","0,241","-0,107","-0,115"
196,"-0,198","-0,044","0,012","-0,023","0,126","-0,159","0,041","-0,221","0,405","0,121","-0,139","-0,041","-0,198","0,111","-0,073","0,294","-0,037","0,000","0,229","-0,070","-0,117"
197,"-0,213","0,017","0,016","0,044","0,115","-0,170","0,084","-0,256","0,409","0,133","-0,142","-0,032","-0,159","0,082","-0,079","0,300","-0,075","0,001","0,207","-0,093","-0,120"
198,"-0,258","-0,001","0,008","0,074","0,084","-0,186","0,035","-0,204","0,411","0,162","-0,108","-0,018","-0,166","0,043","-0,073","0,315","-0,019","0,000","0,195","-0,058","-0,121"
199,"-0,298","0,036","0,003","0,093","0,092","-0,201","0,062","-0,213","0,410","0,152","-0,172","-0,005","-0,238","0,028","-0,071","0,305","-0,032","0,005","0,191","-0,092","-0,122"
200,"-0,348","0,011","0,005","0,044","0,136","-0,206","0,001","-0,242","0,404","0,110","-0,156","0,003","-0,307","0,005","-0,079","0,304","-0,005","0,011","0,175","-0,061","-0,122"
201,"-0,297","-0,029","0,011","0,029","0,116","-0,199","-0,027","-0,208","0,396","0,143","-0,101","0,000","-0,303","0,031","-0,083","0,300","-0,037","0,012","0,189","-0,033","-0,121"
202,"-0,228","-0,057","0,015","0,016","0,146","-0,179","-0,036","-0,191","0,385","0,186","-0,108","-0,011","-0,275","0,073","-0,080","0,294","-0,104","0,008","0,211","-0,015","-0,120"
203,"-0,174","-0,093","0,016","-0,010","0,150","-0,163","-0,045","-0,128","0,376","0,203","-0,133","-0,019","-0,222","0,081","-0,078","0,289","-0,074","0,007","0,238","-0,008","-0,119"
204,"-0,163","-0,028","0,009","0,027","0,160","-0,158","-0,022","-0,142","0,370","0,212","-0,204","-0,018","-0,197","0,085","-0,070","0,285","-0,136","0,005","0,234","-0,044","-0,120"
205,"-0,235","0,005","-0,002","0,090","0,162","-0,157","-0,023","-0,144","0,369","0,211","-0,241","-0,015","-0,207","0,086","-0,059","0,291","-0,130","0,006","0,201","-0,064","-0,119"
206,"-0,307","-0,016","-0,008","0,093","0,160","-0,164","0,037","-0,112","0,372","0,148","-0,219","-0,016","-0,223","0,066","-0,057","0,344","-0,076","0,010","0,170","-0,045","-0,118"
207,"-0,312","-0,029","-0,005","0,051","0,174","-0,173","0,002","-0,171","0,383","0,149","-0,187","-0,018","-0,226","0,063","-0,064","0,364","-0,107","0,013","0,203","-0,029","-0,116"
208,"-0,313","-0,028","-0,001","0,052","0,167","-0,172","-0,003","-0,177","0,388","0,124","-0,129","-0,027","-0,264","0,020","-0,066","0,326","-0,131","0,012","0,204","0,006","-0,114"
