Index,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z
75,"-0,021","0,075","-0,213","-0,004","-0,020","-0,105","-0,086","0,064","0,035","0,138","-0,336","-0,095","-0,112","0,272","0,169","-0,022","0,208","0,016","0,339","0,087","-0,143"
76,"-0,021","0,075","-0,213","0,094","-0,079","-0,234","-0,006","0,074","0,104","0,072","-0,465","-0,130","-0,054","0,409","0,169","0,180","-0,007","-0,063","0,339","0,027","-0,129"
77,"0,041","0,209","-0,192","0,120","-0,136","-0,074","-0,159","0,099","0,007","0,144","-0,364","-0,213","0,024","0,323","0,015","0,095","0,051","-0,153","0,463","0,100","-0,087"
78,"-0,020","0,228","-0,135","0,098","-0,189","-0,181","-0,118","0,276","-0,013","0,216","-0,189","-0,251","-0,021","0,180","-0,121","-0,094","0,042","-0,188","0,400","0,086","-0,145"
79,"-0,022","0,073","-0,020","0,111","0,084","-0,180","-0,159","0,099","0,007","0,282","-0,060","-0,216","0,047","0,206","-0,198","-0,026","-0,101","-0,097","0,400","0,027","-0,131"
80,"0,039","0,054","-0,078","0,056","-0,023","-0,116","-0,012","0,197","-0,124","0,172","0,125","-0,264","0,053","-0,013","-0,216","0,180","-0,007","-0,063","0,339","0,087","-0,143"
81,"0,039","-0,004","-0,059","0,086","0,111","0,019","0,017","0,116","-0,038","0,050","0,131","-0,271","0,004","-0,073","-0,329","0,095","0,051","-0,153","0,341","0,219","-0,111"
82,"0,036","-0,217","0,074","-0,032","0,062","0,067","0,129","0,082","-0,108","-0,014","0,075","-0,261","0,068","-0,154","-0,347","0,120","-0,038","0,055","0,341","0,101","-0,083"
83,"-0,085","-0,235","0,015","-0,017","0,279","0,095","0,026","0,030","-0,035","-0,091","0,001","-0,059","-0,108","-0,187","-0,417","0,188","-0,180","0,147","0,097","0,043","-0,061"
84,"-0,025","-0,275","0,092","-0,137","0,285","0,116","0,167","-0,085","-0,019","-0,155","0,018","-0,004","-0,110","-0,241","-0,388","0,270","0,066","0,064","-0,082","0,072","0,063"
85,"-0,087","-0,486","0,032","-0,073","0,172","0,159","0,117","-0,009","-0,189","-0,028","0,144","0,036","-0,014","-0,228","-0,105","0,092","0,101","0,171","-0,202","0,087","0,126"
86,"0,097","-0,353","0,054","-0,070","0,118","0,185","0,167","-0,085","-0,019","0,034","0,214","0,085","0,016","-0,135","0,196","0,053","0,196","0,145","-0,445","-0,089","0,176"
87,"0,035","-0,564","-0,006","-0,059","0,144","0,239","-0,207","-0,123","-0,013","0,153","0,295","0,197","-0,125","0,087","0,339","-0,048","0,042","0,305","-0,326","0,074","0,071"
