Index,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z
119,"-0,096","-0,359","-0,107","-0,026","-0,049","0,074","-0,244","0,251","0,015","0,033","0,394","0,022","0,178","0,037","-0,036","0,401","-0,503","-0,183","-0,106","0,092","-0,580"
120,"-0,145","-0,337","-0,100","-0,035","-0,085","0,067","-0,258","0,229","0,013","0,037","0,398","0,027","0,146","0,073","-0,044","0,400","-0,575","-0,176","-0,128","0,063","-0,576"
121,"-0,113","-0,309","-0,092","0,038","-0,109","0,052","-0,255","0,218","0,016","0,067","0,394","0,035","0,170","0,108","-0,046","0,392","-0,578","-0,177","-0,135","0,029","-0,572"
122,"-0,098","-0,310","-0,081","0,116","-0,104","0,035","-0,256","0,195","0,022","0,114","0,374","0,043","0,157","0,121","-0,049","0,333","-0,553","-0,180","-0,135","-0,004","-0,568"
123,"-0,077","-0,310","-0,073","0,113","-0,048","0,025","-0,267","0,183","0,023","0,099","0,318","0,047","0,199","0,123","-0,057","0,382","-0,548","-0,175","-0,136","-0,037","-0,564"
124,"-0,014","-0,315","-0,068","0,074","0,000","0,020","-0,303","0,138","0,021","0,120","0,271","0,048","0,216","0,167","-0,068","0,363","-0,542","-0,165","-0,108","-0,052","-0,560"
125,"0,054","-0,336","-0,067","0,004","0,013","0,023","-0,359","0,140","0,017","0,115","0,277","0,042","0,285","0,189","-0,072","0,412","-0,517","-0,156","-0,076","-0,047","-0,553"
126,"0,041","-0,402","-0,070","-0,035","0,015","0,031","-0,330","0,117","0,010","0,072","0,334","0,032","0,259","0,211","-0,073","0,412","-0,472","-0,148","-0,096","-0,018","-0,546"
127,"0,086","-0,398","-0,075","-0,055","0,044","0,039","-0,308","0,121","-0,001","0,056","0,357","0,023","0,246","0,165","-0,072","0,401","-0,480","-0,142","-0,070","0,003","-0,538"
128,"0,138","-0,428","-0,081","-0,045","0,026","0,044","-0,282","0,175","-0,008","0,107","0,372","0,017","0,288","0,134","-0,065","0,422","-0,475","-0,142","-0,047","0,028","-0,533"
