movement,phase,aspect_id,aspect_name,video_id,aspect_deviation
2a_2,f1,11,Huvudet symmetrisk position rakt ovanför bålen,093,0.7487
2a_2,f1,12,Cervikalrygg i neutral lordos i sagittalplan,028,0.0
2a_2,f1,12,Cervikalrygg i neutral lordos i sagittalplan,030,0.0
2a_2,f1,12,Cervikalrygg i neutral lordos i sagittalplan,045,0.256
2a_2,f1,12,Cervikalrygg i neutral lordos i sagittalplan,047,0.2566
2a_2,f1,12,Cervikalrygg i neutral lordos i sagittalplan,059,0.1044
2a_2,f1,12,Cervikalrygg i neutral lordos i sagittalplan,061,1.0
2a_2,f1,12,Cervikalrygg i neutral lordos i sagittalplan,074,1.0
2a_2,f1,12,Cervikalrygg i neutral lordos i sagittalplan,076,0.2581
2a_2,f1,12,Cervikalrygg i neutral lordos i sagittalplan,091,0.0475
2a_2,f1,12,Cervikalrygg i neutral lordos i sagittalplan,093,0.7487
2a_2,f1,13,Axlarna symmetriska och i samma nivå,028,0.0
2a_2,f1,13,Axlarna symmetriska och i samma nivå,030,0.0
2a_2,f1,13,Axlarna symmetriska och i samma nivå,045,0.4878
2a_2,f1,13,Axlarna symmetriska och i samma nivå,047,1.0
2a_2,f1,13,Axlarna symmetriska och i samma nivå,059,1.0
2a_2,f1,13,Axlarna symmetriska och i samma nivå,061,0.0346
2a_2,f1,13,Axlarna symmetriska och i samma nivå,074,0.8902
2a_2,f1,13,Axlarna symmetriska och i samma nivå,076,0.2425
2a_2,f1,13,Axlarna symmetriska och i samma nivå,091,0.1159
2a_2,f1,13,Axlarna symmetriska och i samma nivå,093,0.4642
2a_2,f1,14,Överarmarna längs med bålen,028,0.0
2a_2,f1,14,Överarmarna längs med bålen,030,0.0
2a_2,f1,14,Överarmarna längs med bålen,045,0.2535
2a_2,f1,14,Överarmarna längs med bålen,047,0.5738
2a_2,f1,14,Överarmarna längs med bålen,059,0.2574
2a_2,f1,14,Överarmarna längs med bålen,061,0.5918
2a_2,f1,14,Överarmarna längs med bålen,074,0.0265
2a_2,f1,14,Överarmarna längs med bålen,076,0.0597
2a_2,f1,14,Överarmarna längs med bålen,091,1.0
2a_2,f1,14,Överarmarna längs med bålen,093,1.0
2a_2,f1,15,Bålen placerad rakt över bäckenet i sagittalplan,028,0.0
2a_2,f1,15,Bålen placerad rakt över bäckenet i sagittalplan,030,0.0
2a_2,f1,15,Bålen placerad rakt över bäckenet i sagittalplan,045,0.9369
2a_2,f1,15,Bålen placerad rakt över bäckenet i sagittalplan,047,0.4045
