frame,time,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_confidence,left_hip_x,left_hip_y,left_hip_confidence,right_hip_x,right_hip_y,right_hip_confidence,left_knee_x,left_knee_y,left_knee_confidence,right_knee_x,right_knee_y,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_confidence
42,0,-0.5828574,0.5531243,0.7255949,-0.54143155,0.5504293,0.81620026,-0.5375145,0.59187293,0.55550396,-0.5177495,0.6070281,0.7937307,-0.5326651,0.54926145,0.57303476,-0.53083014,0.5488602,0.4793656,-0.54868394,0.6778099,0.7570657,-0.518633,0.6662232,0.6658061,-0.4830269,0.7365237,0.8244624,-0.45307547,0.7149615,0.90785784,-0.48855776,0.8655063,0.8389508,-0.4671627,0.843365,0.93415684
43,0,-0.5835065,0.55217254,0.69389474,-0.54047376,0.5510969,0.7069841,-0.537202,0.59136474,0.49853575,-0.51743084,0.6072822,0.7499878,-0.5321571,0.54952556,0.51511693,-0.53076607,0.54922324,0.45679688,-0.5492994,0.6769513,0.8313812,-0.5192811,0.6646904,0.74777794,-0.48327258,0.73830163,0.8916946,-0.4531783,0.7138405,0.82899576,-0.48829854,0.8649833,0.84783894,-0.4666941,0.8434585,0.9497583
44,0,-0.5819386,0.55382645,0.63415706,-0.54156613,0.5513699,0.754454,-0.5387682,0.5897719,0.4899344,-0.51854986,0.60433805,0.7946846,-0.53330564,0.55088055,0.62229115,-0.5313793,0.55245674,0.36063308,-0.5474646,0.6805445,0.83463615,-0.5192072,0.6682631,0.698506,-0.4824281,0.73916626,0.70368916,-0.45402467,0.71469665,0.81638366,-0.48806965,0.86608857,0.7761479,-0.4673166,0.8445478,0.9105249
45,0,-0.58264744,0.55402696,0.67602694,-0.5418289,0.55160433,0.65878046,-0.5381633,0.59169257,0.5466876,-0.51804423,0.60542876,0.88930106,-0.5326938,0.5493261,0.5470252,-0.5304992,0.54883975,0.43681324,-0.5482246,0.67900777,0.7226998,-0.5186568,0.66796345,0.67131746,-0.4831329,0.7369613,0.79741335,-0.4532913,0.71589684,0.8829767,-0.48907247,0.8650115,0.83514184,-0.4673004,0.8449832,0.88217956
46,0,-0.5832045,0.5535542,0.89412785,-0.542195,0.5512033,0.7351776,-0.53785574,0.59150934,0.5548221,-0.5177925,0.6069663,0.7382669,-0.5323255,0.5488885,0.59152794,-0.5319296,0.5484198,0.42063054,-0.5483166,0.67797446,0.69835496,-0.5193562,0.6671356,0.66544724,-0.4832161,0.7386488,0.8152453,-0.45378345,0.71506584,0.9020805,-0.48847485,0.86544603,0.836978,-0.46714765,0.8446922,0.89042276
47,0,-0.5834371,0.5525177,0.92113024,-0.5417498,0.5504724,0.8151128,-0.5372701,0.59134185,0.54691875,-0.5174866,0.60645616,0.78378385,-0.53331345,0.548014,0.60080206,-0.53153557,0.54573905,0.5149365,-0.54985905,0.6771436,0.8149793,-0.5198726,0.6656871,0.7537031,-0.4827762,0.73849446,0.8647329,-0.45367286,0.7139013,0.93660414,-0.4884588,0.86543614,0.83425534,-0.46736187,0.8443616,0.9490462
48,0,-0.58277667,0.55345935,0.707609,-0.54074615,0.5515827,0.7359264,-0.53887564,0.5895085,0.4960121,-0.51773715,0.6042927,0.8875148,-0.53289354,0.5514651,0.6531424,-0.5308076,0.5530992,0.33730644,-0.54669327,0.6778581,0.7786069,-0.52012986,0.66710716,0.9066886,-0.4820547,0.7390115,0.7235611,-0.45418864,0.7139701,0.8635641,-0.4877376,0.8661533,0.75720686,-0.4673209,0.8449481,0.92162585
49,0,-0.5833866,0.5528505,0.9228239,-0.5420342,0.550216,0.80387247,-0.53750783,0.5907907,0.56316185,-0.51745147,0.606739,0.78812855,-0.5327709,0.5488576,0.60770696,-0.53113276,0.54906183,0.33417746,-0.5488078,0.6781712,0.79971075,-0.5189818,0.6664271,0.7510835,-0.48312047,0.7389452,0.8791891,-0.45325497,0.71455497,0.8227505,-0.4885845,0.8644199,0.85136795,-0.46755207,0.8438804,0.87182325
50,1,-0.58373106,0.5523335,0.9385721,-0.54053134,0.55066955,0.7852698,-0.5373733,0.5912347,0.507964,-0.51734054,0.60767144,0.801269,-0.532524,0.54848,0.5860782,-0.5311467,0.54813045,0.4786941,-0.54905325,0.6770897,0.8209016,-0.5195655,0.6647728,0.7673185,-0.48270455,0.7390076,0.88689315,-0.45311052,0.71400386,0.94810647,-0.4882557,0.86489743,0.86854714,-0.46745268,0.8443311,0.68945664
51,1,-0.58313155,0.55215764,0.7846112,-0.5416481,0.5499028,0.8783076,-0.537616,0.5901935,0.52994627,-0.51782006,0.60601026,0.76648986,-0.532856,0.55171233,0.6929428,-0.530908,0.5526655,0.3693247,-0.5485022,0.6771398,0.88329697,-0.5192571,0.66463864,0.87035495,-0.48179266,0.7389106,0.822934,-0.45333025,0.7133503,0.93107635,-0.48829877,0.8643161,0.83704436,-0.46817324,0.84410715,0.87245655
52,1,-0.5827442,0.55330753,0.9167229,-0.54149574,0.5507435,0.8088148,-0.53749466,0.5905026,0.5252881,-0.5177191,0.604759,0.9007819,-0.53281873,0.5509123,0.7129092,-0.5302617,0.55287576,0.33860055,-0.54765946,0.67749614,0.85864604,-0.5192258,0.6655938,0.7575297,-0.48198497,0.7387043,0.80898327,-0.4535945,0.7138728,0.9005301,-0.48865885,0.86488974,0.8239134,-0.46718454,0.84501714,0.93483835
53,1,-0.5833016,0.55343485,0.9218903,-0.54198575,0.550348,0.8282219,-0.53760415,0.59111226,0.54742754,-0.5178983,0.6059082,0.9089476,-0.5326592,0.55144,0.7305449,-0.5307953,0.5540976,0.31471664,-0.54860395,0.67881644,0.8113116,-0.5191197,0.66661894,0.78033394,-0.482009,0.7366778,0.694526,-0.45348603,0.7140736,0.8960665,-0.4881972,0.8653891,0.818547,-0.46708554,0.84447426,0.92202616
