Video,Movement,Joint,Mean Displacement,Std Displacement
DJI_20250425125202_0091_D,stand-to-sit,left_ankle,0.0103,0.0077
DJI_20250425125202_0091_D,stand-to-sit,right_ankle,0.0115,0.0085
DJI_20250425125202_0091_D,stand-to-sit,left_heel,0.0104,0.0078
DJI_20250425125202_0091_D,stand-to-sit,right_heel,0.0117,0.0087
DJI_20250425125202_0091_D,stand-to-sit,left_foot_index,0.0107,0.0077
DJI_20250425125202_0091_D,stand-to-sit,right_foot_index,0.0111,0.0075
DJI_20250425125448_0093_D,stand-to-sit,nose,0.0019,0.0021
DJI_20250425125448_0093_D,stand-to-sit,left_shoulder,0.0009,0.001
DJI_20250425125448_0093_D,stand-to-sit,right_shoulder,0.0009,0.001
DJI_20250425125448_0093_D,stand-to-sit,left_elbow,0.0019,0.0021
DJI_20250425125448_0093_D,stand-to-sit,right_elbow,0.0147,0.0974
DJI_20250425125448_0093_D,stand-to-sit,left_wrist,0.0027,0.0028
DJI_20250425125448_0093_D,stand-to-sit,right_wrist,0.0081,0.0451
DJI_20250425125448_0093_D,stand-to-sit,left_hip,0.003,0.0042
DJI_20250425125448_0093_D,stand-to-sit,right_hip,0.0029,0.0041
DJI_20250425125448_0093_D,stand-to-sit,left_knee,0.0041,0.0048
DJI_20250425125448_0093_D,stand-to-sit,right_knee,0.0044,0.0058
DJI_20250425125448_0093_D,stand-to-sit,left_ankle,0.0042,0.0048
DJI_20250425125448_0093_D,stand-to-sit,right_ankle,0.0046,0.0056
DJI_20250425125448_0093_D,stand-to-sit,left_heel,0.0044,0.0049
DJI_20250425125448_0093_D,stand-to-sit,right_heel,0.0047,0.0057
DJI_20250425125448_0093_D,stand-to-sit,left_foot_index,0.0044,0.0046
DJI_20250425125448_0093_D,stand-to-sit,right_foot_index,0.0048,0.0056
