Frame,Time (ms),Entire plate COF X (mm),Entire plate COF Y (mm),Entire plate Force (N),Entire plate COF Frame distance (mm),Left Selection COF X (mm),Left Selection COF Y (mm),Left Selection Force (N),Left Selection COF Frame distance (mm),Right Selection COF X (mm),Right Selection COF Y (mm),Right Selection Force (N),Right Selection COF Frame distance (mm),Top Selection COF X (mm),Top Selection COF Y (mm),Top Selection Force (N),Top Selection COF Frame distance (mm),Bottom Selection COF X (mm),Bottom Selection COF Y (mm),Bottom Selection Force (N),Bottom Selection COF Frame distance (mm),Left Bottom Selection COF X (mm),Left  Bottom Selection COF Y (mm),Left Bottom Selection Force (N),Left Bottom Selection COF Frame distance (mm),Left Top Selection COF X (mm),Left Top Selection COF Y (mm),Left Top Selection Force (N),Left Top Selection COF Frame distance (mm),Right Top Selection COF X (mm),Right Top Selection COF Y (mm),Right Top Selection Force (N),Right Top Selection COF Frame distance (mm),Right Bottom Selection COF X (mm),Right Bottom Selection COF Y (mm),Right Bottom Selection Force (N),Right Bottom Selection COF Frame distance (mm)
58.0,580.0,210.029,137.140,870.0,1.183,82.326,151.092,351.0,1.646,131.588,127.717,519.0,0.029,228.721,45.314,363.0,0.062,196.447,86.199,505.0,1.966,74.443,92.164,166.0,0.589,89.326,41.628,184.0,0.047,121.654,49.094,179.0,0.017,136.876,83.283,339.0,0.012
59.0,590.0,208.667,137.477,864.0,1.402,82.698,152.707,341.0,1.657,131.619,127.522,522.0,0.198,228.432,45.297,363.0,0.289,194.152,86.230,499.0,2.296,74.735,92.796,157.0,0.697,89.432,41.576,183.0,0.118,121.698,49.084,180.0,0.044,136.876,83.208,342.0,0.075
60.0,600.0,207.289,137.515,861.0,1.378,82.966,154.195,334.0,1.512,131.628,126.955,527.0,0.566,228.376,45.262,362.0,0.065,191.780,86.226,497.0,2.372,74.969,93.432,150.0,0.678,89.432,41.534,183.0,0.043,121.655,49.056,179.0,0.051,136.822,83.108,347.0,0.113
61.0,610.0,205.970,137.720,858.0,1.336,83.262,155.677,326.0,1.511,131.679,126.707,532.0,0.253,228.016,45.285,362.0,0.361,189.617,86.230,494.0,2.163,75.202,94.009,143.0,0.622,89.477,41.565,182.0,0.055,121.693,49.042,180.0,0.041,136.843,83.058,351.0,0.054
62.0,620.0,204.581,137.977,853.0,1.412,83.619,157.518,318.0,1.875,131.698,126.387,535.0,0.321,227.829,45.306,362.0,0.189,187.195,86.307,490.0,2.423,75.538,94.924,135.0,0.975,89.523,41.596,181.0,0.055,121.709,49.036,180.0,0.017,136.800,83.022,355.0,0.056
63.0,630.0,203.114,138.199,851.0,1.484,83.952,159.412,310.0,1.923,131.717,126.051,541.0,0.337,227.602,45.329,362.0,0.228,184.663,86.264,487.0,2.532,75.879,95.653,127.0,0.805,89.507,41.645,181.0,0.051,121.710,49.019,181.0,0.017,136.781,82.934,360.0,0.089
64.0,640.0,201.646,138.519,845.0,1.503,84.301,161.239,301.0,1.859,131.765,125.967,545.0,0.096,227.265,45.361,362.0,0.338,182.141,86.240,482.0,2.523,76.152,96.227,119.0,0.636,89.572,41.657,180.0,0.066,121.920,49.037,182.0,0.211,136.729,82.950,362.0,0.055
65.0,650.0,200.194,138.775,838.0,1.475,84.729,163.205,291.0,2.012,131.780,125.756,547.0,0.211,227.119,45.362,361.0,0.146,179.514,86.125,475.0,2.629,76.415,96.772,111.0,0.605,89.754,41.644,180.0,0.182,121.962,49.033,182.0,0.042,136.703,82.886,364.0,0.069
66.0,660.0,198.627,139.054,835.0,1.592,85.133,165.483,283.0,2.313,131.800,125.504,552.0,0.253,226.805,45.376,362.0,0.315,176.789,86.119,471.0,2.725,76.877,97.935,103.0,1.252,89.761,41.646,179.0,0.007,121.983,49.037,183.0,0.021,136.685,82.826,369.0,0.062
67.0,670.0,197.067,139.443,828.0,1.608,85.600,167.877,273.0,2.439,131.805,125.425,555.0,0.079,226.372,45.392,362.0,0.433,174.062,86.108,465.0,2.727,77.433,99.114,94.0,1.303,89.811,41.665,178.0,0.054,122.019,49.017,183.0,0.042,136.664,82.803,371.0,0.031
68.0,680.0,195.439,139.380,826.0,1.629,86.086,169.895,265.0,2.076,131.851,124.951,561.0,0.476,226.065,45.335,361.0,0.312,171.373,85.973,464.0,2.693,78.039,100.257,87.0,1.294,89.931,41.517,177.0,0.190,122.096,49.020,184.0,0.078,136.629,82.675,377.0,0.133
69.0,690.0,193.975,139.560,822.0,1.474,86.574,172.011,257.0,2.171,131.941,124.806,565.0,0.171,225.590,45.371,361.0,0.477,169.018,85.924,460.0,2.356,78.696,101.632,80.0,1.524,90.077,41.502,176.0,0.147,122.250,49.063,185.0,0.160,136.669,82.614,380.0,0.073
70.0,700.0,192.126,139.865,817.0,1.874,87.213,174.964,247.0,3.022,131.985,124.671,570.0,0.142,224.970,45.361,361.0,0.621,165.837,85.808,455.0,3.183,79.728,103.639,71.0,2.257,90.160,41.413,175.0,0.121,122.391,49.075,186.0,0.142,136.654,82.509,384.0,0.106
71.0,710.0,190.254,139.863,814.0,1.871,87.810,177.188,237.0,2.303,131.991,124.483,576.0,0.188,224.183,45.290,360.0,0.790,163.061,85.709,453.0,2.778,80.652,105.076,64.0,1.709,90.366,41.257,173.0,0.259,122.465,49.018,187.0,0.092,136.597,82.534,389.0,0.062
72.0,720.0,188.830,140.118,812.0,1.447,88.246,179.667,230.0,2.517,132.094,124.455,581.0,0.107,223.723,45.414,360.0,0.477,160.674,85.698,450.0,2.387,81.529,107.178,57.0,2.277,90.405,41.337,172.0,0.089,122.734,49.138,188.0,0.295,136.607,82.559,393.0,0.027
73.0,730.0,187.069,140.165,806.0,1.761,88.832,182.213,221.0,2.613,132.087,124.287,585.0,0.168,223.071,45.374,359.0,0.653,157.905,85.467,446.0,2.779,82.376,109.100,50.0,2.100,90.668,41.244,170.0,0.279,122.756,49.091,189.0,0.052,136.580,82.473,396.0,0.091
