Frame,Time (ms),Entire plate COF X (mm),Entire plate COF Y (mm),Entire plate Force (N),Entire plate COF Frame distance (mm),Left Selection COF X (mm),Left Selection COF Y (mm),Left Selection Force (N),Left Selection COF Frame distance (mm),Right Selection COF X (mm),Right Selection COF Y (mm),Right Selection Force (N),Right Selection COF Frame distance (mm),Top Selection COF X (mm),Top Selection COF Y (mm),Top Selection Force (N),Top Selection COF Frame distance (mm),Bottom Selection COF X (mm),Bottom Selection COF Y (mm),Bottom Selection Force (N),Bottom Selection COF Frame distance (mm),Left Bottom Selection COF X (mm),Left  Bottom Selection COF Y (mm),Left Bottom Selection Force (N),Left Bottom Selection COF Frame distance (mm),Left Top Selection COF X (mm),Left Top Selection COF Y (mm),Left Top Selection Force (N),Left Top Selection COF Frame distance (mm),Right Top Selection COF X (mm),Right Top Selection COF Y (mm),Right Top Selection Force (N),Right Top Selection COF Frame distance (mm),Right Bottom Selection COF X (mm),Right Bottom Selection COF Y (mm),Right Bottom Selection Force (N),Right Bottom Selection COF Frame distance (mm)
54.0,540.0,305.865,175.397,1172.0,1.320,116.517,165.196,876.0,0.948,144.431,205.618,296.0,0.110,282.979,48.190,779.0,1.983,351.092,104.485,388.0,0.336,107.361,104.463,388.0,0.337,123.713,51.297,484.0,0.270,144.431,43.099,295.0,0.111,144.780,147.320,0.0,0.000
55.0,550.0,307.312,175.574,1165.0,1.458,116.671,165.675,878.0,0.503,144.404,205.889,287.0,0.272,285.000,48.333,775.0,2.026,351.386,104.788,386.0,0.422,107.546,104.788,386.0,0.374,123.745,51.272,488.0,0.041,144.404,43.329,287.0,0.232,,,0.0,
56.0,560.0,309.316,175.695,1158.0,2.008,116.754,166.296,884.0,0.627,144.535,205.895,275.0,0.132,287.829,48.559,769.0,2.838,351.524,104.968,385.0,0.226,107.684,104.968,385.0,0.226,123.662,51.464,494.0,0.209,144.535,43.335,275.0,0.132,,,0.0,
57.0,570.0,310.798,176.127,1151.0,1.544,116.829,167.165,886.0,0.872,144.421,206.027,266.0,0.174,290.109,48.834,766.0,2.297,351.689,105.334,381.0,0.402,107.849,105.334,381.0,0.402,123.531,51.681,501.0,0.253,144.421,43.467,266.0,0.174,,,0.0,
58.0,580.0,312.691,176.416,1143.0,1.914,116.992,167.878,889.0,0.732,144.467,206.252,254.0,0.230,292.990,48.953,762.0,2.884,351.780,105.661,377.0,0.339,107.940,105.661,377.0,0.339,123.592,51.591,508.0,0.109,144.467,43.692,254.0,0.230,,,0.0,
59.0,590.0,314.546,176.940,1135.0,1.928,117.157,168.901,891.0,1.036,144.407,206.387,243.0,0.147,295.811,49.284,758.0,2.839,352.002,106.017,372.0,0.420,108.162,106.017,372.0,0.420,123.539,51.863,515.0,0.278,144.407,43.827,243.0,0.147,,,0.0,
60.0,600.0,316.749,177.393,1127.0,2.249,117.374,169.865,896.0,0.988,144.415,206.572,231.0,0.185,299.090,49.427,755.0,3.282,352.239,106.638,368.0,0.665,108.399,106.638,368.0,0.665,123.556,51.819,524.0,0.047,144.415,44.012,231.0,0.185,,,0.0,
61.0,610.0,318.410,177.858,1117.0,1.725,117.543,170.679,895.0,0.832,144.611,206.891,221.0,0.375,301.618,49.621,750.0,2.535,352.388,107.011,362.0,0.402,108.548,107.011,362.0,0.402,123.568,51.838,528.0,0.022,144.611,44.331,221.0,0.375,,,0.0,
62.0,620.0,320.551,178.341,1104.0,2.195,117.723,171.596,895.0,0.934,144.862,207.237,209.0,0.428,304.821,49.856,743.0,3.212,352.640,107.444,356.0,0.501,108.800,107.444,356.0,0.501,123.539,51.881,534.0,0.053,144.862,44.677,209.0,0.428,,,0.0,
63.0,630.0,322.564,178.954,1095.0,2.104,117.927,172.647,897.0,1.070,145.033,207.517,198.0,0.327,307.906,50.131,740.0,3.098,352.819,107.870,350.0,0.463,108.979,107.870,350.0,0.463,123.579,52.021,542.0,0.146,145.033,44.957,198.0,0.327,,,0.0,
64.0,640.0,324.691,179.530,1086.0,2.204,118.087,173.672,900.0,1.038,145.266,207.755,187.0,0.333,311.044,50.409,736.0,3.150,353.062,108.519,346.0,0.693,109.222,108.519,346.0,0.693,123.536,52.181,549.0,0.165,145.266,45.195,187.0,0.333,,,0.0,
65.0,650.0,326.902,180.046,1072.0,2.270,118.325,174.633,898.0,0.990,145.318,207.921,174.0,0.174,314.268,50.598,729.0,3.230,353.423,108.972,339.0,0.580,109.583,108.972,339.0,0.580,123.538,52.245,555.0,0.064,145.318,45.361,174.0,0.174,,,0.0,
