Frame,Time (ms),Entire plate COF X (mm),Entire plate COF Y (mm),Entire plate Force (N),Entire plate COF Frame distance (mm),Left Selection COF X (mm),Left Selection COF Y (mm),Left Selection Force (N),Left Selection COF Frame distance (mm),Right Selection COF X (mm),Right Selection COF Y (mm),Right Selection Force (N),Right Selection COF Frame distance (mm),Top Selection COF X (mm),Top Selection COF Y (mm),Top Selection Force (N),Top Selection COF Frame distance (mm),Bottom Selection COF X (mm),Bottom Selection COF Y (mm),Bottom Selection Force (N),Bottom Selection COF Frame distance (mm),Left Bottom Selection COF X (mm),Left  Bottom Selection COF Y (mm),Left Bottom Selection Force (N),Left Bottom Selection COF Frame distance (mm),Left Top Selection COF X (mm),Left Top Selection COF Y (mm),Left Top Selection Force (N),Left Top Selection COF Frame distance (mm),Right Top Selection COF X (mm),Right Top Selection COF Y (mm),Right Top Selection Force (N),Right Top Selection COF Frame distance (mm),Right Bottom Selection COF X (mm),Right Bottom Selection COF Y (mm),Right Bottom Selection Force (N),Right Bottom Selection COF Frame distance (mm)
59.0,590.0,209.472,194.301,921.0,5.111,118.260,242.741,362.0,0.596,110.725,162.961,559.0,1.140,248.049,78.973,650.0,3.901,117.015,81.101,271.0,0.169,,,0.0,,118.260,80.181,362.0,0.596,104.804,77.456,288.0,0.074,117.015,81.101,271.0,0.169
60.0,600.0,204.685,191.845,914.0,5.379,118.936,242.701,341.0,0.678,110.746,161.626,573.0,1.335,243.987,78.893,631.0,4.063,116.871,81.004,283.0,0.173,,,0.0,,118.936,80.141,341.0,0.678,104.792,77.431,291.0,0.028,116.871,81.004,283.0,0.173
61.0,610.0,198.855,188.837,902.0,6.561,119.766,242.571,314.0,0.839,110.733,160.096,588.0,1.531,238.814,78.765,607.0,5.175,116.735,80.968,295.0,0.141,,,0.0,,119.766,80.011,314.0,0.839,104.674,77.426,293.0,0.118,116.735,80.968,295.0,0.141
62.0,620.0,192.240,186.010,889.0,7.193,120.727,242.088,286.0,1.076,110.591,159.440,604.0,0.671,231.958,78.523,583.0,6.860,116.502,80.992,306.0,0.234,,,0.0,,120.727,79.528,286.0,1.076,104.511,77.558,298.0,0.209,116.502,80.992,306.0,0.234
63.0,630.0,185.080,182.676,871.0,7.898,121.714,241.071,255.0,1.418,110.387,158.509,616.0,0.954,224.166,77.848,555.0,7.821,116.273,81.046,316.0,0.235,,,0.0,,121.714,78.511,255.0,1.418,104.207,77.285,301.0,0.408,116.273,81.046,316.0,0.235
64.0,640.0,175.834,178.964,852.0,9.964,122.504,239.687,219.0,1.593,110.055,157.997,633.0,0.610,213.022,77.064,526.0,11.172,115.941,81.268,326.0,0.400,,,0.0,,122.504,77.127,219.0,1.593,103.797,77.019,307.0,0.489,115.941,81.268,326.0,0.400
65.0,650.0,166.288,175.292,828.0,10.228,123.131,237.669,182.0,2.114,109.686,157.699,646.0,0.474,200.524,76.203,494.0,12.527,115.639,81.394,334.0,0.327,,,0.0,,123.131,75.109,182.0,2.114,103.312,76.842,312.0,0.516,115.639,81.394,334.0,0.327
66.0,660.0,156.364,171.828,809.0,10.511,123.657,235.759,148.0,1.981,109.273,157.569,662.0,0.432,186.486,75.553,467.0,14.054,115.330,81.531,343.0,0.337,,,0.0,,123.657,73.199,148.0,1.981,102.771,76.641,319.0,0.577,115.330,81.531,343.0,0.337
67.0,670.0,145.991,168.806,793.0,10.804,124.890,234.205,114.0,1.984,108.722,157.864,679.0,0.625,170.488,75.058,443.0,16.005,115.022,81.816,350.0,0.420,,,0.0,,124.890,71.645,114.0,1.984,102.018,76.236,329.0,0.855,115.022,81.816,350.0,0.420
68.0,680.0,136.009,166.209,776.0,10.314,125.521,233.181,83.0,1.203,108.144,158.212,693.0,0.675,154.179,74.959,420.0,16.310,114.608,82.215,356.0,0.575,,,0.0,,125.521,70.621,83.0,1.203,101.307,76.025,337.0,0.741,114.608,82.215,356.0,0.575
