Index,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z
234,"0,217","-0,655","2,754","-0,070","-0,953","-0,491","2,011","-1,912","0,535","0,498","0,602","0,084","-0,161","-1,767","-0,250","-0,824","1,112","1,822","-0,540","0,150","-0,857"
235,"-0,053","-1,045","2,171","-0,115","-0,769","-0,305","2,023","-1,997","0,527","0,050","1,244","-0,100","0,019","-1,509","-0,570","-0,768","1,345","2,055","-0,301","0,478","-0,911"
236,"-0,424","-1,519","1,716","-0,060","-0,525","-0,373","2,004","-2,388","0,473","-0,099","1,020","-0,195","0,136","-1,167","-0,995","-0,524","1,621","2,279","-0,387","0,783","-0,683"
237,"-0,715","-1,997","0,768","0,067","-0,464","-0,322","1,603","-2,316","0,498","1,083","0,744","0,509","-0,111","-0,939","-1,369","-0,261","1,851","2,257","-0,539","0,885","-0,322"
238,"-0,853","-2,136","0,453","0,072","-0,280","-0,263","1,657","-2,180","0,528","1,748","0,396","0,830","-0,660","-0,884","-1,529","-0,149","1,812","2,348","-0,858","1,164","-0,247"
239,"-0,672","-2,434","0,199","0,183","0,023","-0,397","1,680","-1,983","0,341","1,202","0,003","0,584","-1,082","-1,331","-1,325","0,085","1,660","2,365","-0,661","1,515","0,273"
240,"-0,605","-2,229","-0,109","0,198","-0,036","-0,214","1,478","-1,884","0,379","1,240","0,296","0,302","-1,076","-1,966","-1,100","0,040","1,643","2,168","-0,560","1,555","0,551"
241,"-0,597","-2,022","-0,405","0,142","0,086","-0,149","1,312","-1,857","0,308","1,112","0,534","0,373","-0,766","-2,386","-0,705","-0,054","1,848","2,002","-0,541","1,468","0,316"
242,"-0,636","-1,627","-0,090","0,082","-0,036","-0,143","1,032","-1,724","0,333","0,773","0,337","0,003","-0,644","-2,338","-0,459","-0,270","1,769","1,623","-0,504","1,591","0,605"
243,"-0,356","-1,390","0,284","0,138","-0,158","-0,208","0,850","-1,177","0,289","0,834","-0,110","0,297","-0,284","-1,628","-0,382","-0,048","1,294","1,517","-0,498","0,974","-0,083"
244,"0,007","-0,748","0,668","0,325","-0,401","-0,160","0,492","-0,826","0,215","0,571","-0,405","0,232","-0,290","-1,002","-0,334","-0,015","0,589","1,303","-0,282","0,503","-0,333"
