Index,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z
664,"9,294","8,979","38,754","-0,145","3,864","-1,538","7,651","-14,115","2,661","-58,105","34,034","5,195","4,815","2,307","-4,907","0,402","6,870","16,102","-53,956","2,514","-5,853"
665,"7,840","8,443","34,458","-0,602","3,104","-0,936","6,421","-12,892","2,442","-55,286","32,101","7,888","4,581","1,893","-4,904","1,438","7,000","15,555","-53,760","2,443","-4,202"
666,"6,199","7,896","30,119","-0,702","2,559","-0,522","4,933","-11,027","2,773","-53,675","33,223","11,007","5,740","1,613","-6,373","2,847","6,301","15,183","-53,348","2,546","-2,146"
667,"4,959","7,420","24,648","-0,876","1,922","-0,272","4,947","-10,582","1,582","-58,131","36,667","11,591","8,185","1,549","-7,871","2,376","5,260","12,748","-53,080","2,989","0,217"
668,"3,653","6,635","19,203","-1,168","1,477","0,014","3,562","-9,104","1,345","-65,970","40,023","10,213","10,165","1,658","-8,033","1,672","4,137","8,683","-52,687","3,339","1,627"
669,"3,109","5,759","16,444","-0,968","1,217","0,294","2,856","-7,169","0,971","-71,270","43,026","10,170","11,713","2,162","-7,201","1,381","3,628","6,494","-52,473","3,472","2,988"
670,"2,546","4,450","12,790","-0,186","0,946","0,163","2,242","-5,536","0,891","-81,018","43,157","12,686","12,819","1,567","-8,130","0,955","3,133","4,974","-54,678","2,845","3,114"
671,"2,251","3,451","9,346","0,284","0,838","-0,099","1,389","-4,047","0,802","-86,502","44,385","10,137","12,323","1,050","-7,957","0,569","2,806","2,596","-54,900","1,995","1,939"
672,"1,904","2,795","6,701","0,779","0,793","-0,002","0,788","-2,830","0,885","-90,045","47,592","13,038","10,627","1,711","-5,644","0,374","2,358","0,537","-56,738","0,316","-0,584"
673,"1,897","1,757","3,813","0,991","0,925","0,394","0,545","-1,826","1,079","-90,628","44,121","15,110","9,105","2,220","-3,216","-0,372","1,718","-0,905","-58,511","-2,497","-5,808"
674,"2,113","0,961","1,349","0,956","0,990","0,757","-0,009","-1,210","0,533","-82,644","40,765","11,162","8,967","2,318","-0,432","-1,015","1,617","-0,781","-58,351","-2,745","-6,355"
675,"2,055","-0,220","-1,369","0,899","1,122","0,800","-0,615","0,664","0,886","-71,200","41,529","13,650","9,950","2,000","1,248","-1,353","1,437","0,018","-58,994","-1,607","-3,228"
676,"1,756","-1,721","-5,500","0,668","1,397","0,954","-1,358","1,884","0,600","-73,767","41,465","18,489","10,401","1,792","2,720","-1,625","1,088","-0,418","-61,243","-0,906","0,183"
677,"2,913","-1,212","-3,391","0,385","1,453","1,274","-0,462","0,572","1,552","-83,028","36,913","15,430","10,374","1,111","3,125","-2,300","1,181","-1,111","-62,625","-0,751","2,561"
678,"4,012","0,364","0,778","-0,340","1,593","1,363","0,039","-1,525","0,612","-83,139","29,845","12,876","10,081","-0,204","1,728","-2,449","0,565","-2,434","-64,316","-2,124","2,387"
679,"4,735","1,595","6,469","-1,018","1,520","1,299","0,134","-1,214","0,901","-69,320","21,025","15,025","10,889","-1,508","-0,174","-2,533","0,710","-2,037","-64,230","-2,270","3,863"
