Index,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z
82,"0,056","0,000","0,068","-0,556","-0,094","-0,471","0,001","0,197","-0,146","0,635","-0,046","0,021","-0,219","0,176","0,211","-0,417","-0,085","-0,018","0,948","-0,149","-0,091"
83,"0,071","0,034","0,071","-0,526","-0,100","-0,478","-0,024","0,132","-0,145","0,634","-0,115","0,015","-0,223","0,180","0,212","-0,355","-0,091","-0,016","0,924","-0,117","-0,092"
84,"0,134","0,036","0,073","-0,498","-0,109","-0,488","-0,017","0,117","-0,142","0,679","-0,152","0,010","-0,226","0,200","0,206","-0,297","-0,111","-0,010","0,904","-0,095","-0,090"
85,"0,117","0,041","0,075","-0,468","-0,110","-0,496","-0,036","0,056","-0,139","0,631","-0,148","0,004","-0,232","0,202","0,206","-0,288","-0,080","-0,005","0,846","-0,083","-0,093"
86,"0,096","-0,001","0,079","-0,440","-0,124","-0,505","-0,039","0,047","-0,140","0,683","-0,106","-0,001","-0,238","0,234","0,211","-0,249","-0,060","0,001","0,832","-0,135","-0,101"
87,"0,087","0,011","0,083","-0,432","-0,090","-0,513","-0,036","0,048","-0,138","0,704","-0,120","-0,003","-0,269","0,208","0,217","-0,276","-0,012","0,005","0,830","-0,160","-0,114"
88,"0,100","0,034","0,084","-0,403","-0,073","-0,523","-0,032","0,040","-0,134","0,745","-0,095","-0,005","-0,213","0,174","0,221","-0,270","-0,021","0,009","0,864","-0,180","-0,125"
89,"0,042","0,069","0,084","-0,375","-0,049","-0,530","-0,018","0,011","-0,128","0,757","-0,119","-0,005","-0,166","0,123","0,220","-0,280","-0,004","0,011","0,859","-0,136","-0,130"
90,"0,043","0,067","0,082","-0,345","-0,026","-0,536","-0,021","-0,036","-0,121","0,712","-0,115","-0,008","-0,121","0,069","0,216","-0,275","0,048","0,013","0,857","-0,132","-0,128"
91,"0,064","0,106","0,085","-0,336","0,009","-0,540","-0,023","-0,040","-0,118","0,714","-0,123","-0,016","-0,113","-0,006","0,215","-0,279","0,051","0,013","0,825","-0,101","-0,123"
92,"0,062","0,118","0,090","-0,301","0,023","-0,544","-0,091","-0,048","-0,115","0,693","-0,144","-0,018","-0,069","-0,052","0,218","-0,215","0,065","0,010","0,846","-0,036","-0,126"
93,"0,053","0,053","0,095","-0,265","0,023","-0,548","-0,128","0,002","-0,115","0,651","-0,194","-0,021","-0,005","-0,062","0,221","-0,178","0,101","0,010","0,849","-0,008","-0,131"
94,"0,061","0,029","0,098","-0,234","0,010","-0,553","-0,119","0,013","-0,116","0,672","-0,180","-0,022","-0,010","-0,059","0,223","-0,114","0,090","0,012","0,843","0,020","-0,135"
