Index,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z
106,"1,219","0,088","-1,087","0,360","-0,676","0,669","-0,110","-0,218","0,709","-0,243","0,464","1,601","1,424","-0,038","-0,478","1,293","-0,368","-0,338","1,238","0,341","-0,582"
107,"1,387","0,048","-1,161","0,372","-0,683","0,688","-0,075","-0,186","0,747","-0,186","0,543","1,654","1,509","-0,044","-0,499","1,418","-0,371","-0,328","1,344","0,308","-0,604"
108,"1,523","0,049","-1,219","0,338","-0,715","0,709","-0,019","-0,086","0,790","-0,186","0,600","1,717","1,555","-0,050","-0,524","1,464","-0,444","-0,338","1,435","0,302","-0,631"
109,"1,630","0,048","-1,282","0,289","-0,689","0,730","-0,037","0,014","0,836","-0,196","0,714","1,784","1,594","-0,112","-0,553","1,508","-0,450","-0,346","1,527","0,315","-0,654"
110,"1,758","0,066","-1,348","0,239","-0,663","0,752","-0,055","0,062","0,880","-0,201","0,777","1,847","1,630","-0,169","-0,583","1,573","-0,428","-0,348","1,619","0,355","-0,671"
111,"1,904","0,073","-1,404","0,188","-0,639","0,773","-0,071","0,060","0,910","-0,191","0,798","1,881","1,648","-0,234","-0,614","1,635","-0,379","-0,349","1,713","0,428","-0,654"
112,"2,000","0,072","-1,432","0,131","-0,651","0,795","-0,058","0,077","0,918","-0,184","0,799","1,889","1,632","-0,200","-0,653","1,644","-0,352","-0,351","1,778","0,451","-0,599"
113,"2,096","0,077","-1,438","0,085","-0,676","0,813","-0,051","0,077","0,905","-0,180","0,764","1,872","1,608","-0,147","-0,691","1,658","-0,343","-0,352","1,841","0,467","-0,528"
114,"2,193","0,079","-1,440","0,033","-0,662","0,829","-0,052","0,068","0,888","-0,118","0,727","1,855","1,569","-0,124","-0,710","1,669","-0,293","-0,351","1,907","0,443","-0,478"
115,"2,298","0,062","-1,457","0,000","-0,693","0,840","-0,027","0,031","0,870","-0,058","0,772","1,856","1,547","-0,058","-0,724","1,684","-0,287","-0,330","1,964","0,394","-0,459"
116,"2,393","0,042","-1,508","-0,050","-0,713","0,847","0,036","-0,014","0,864","-0,024","0,808","1,873","1,497","-0,021","-0,735","1,674","-0,267","-0,283","2,013","0,380","-0,461"
