Index,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z
488,"-0,036","0,026","1,018","-0,046","0,031","1,014","0,001","0,011","0,947","0,029","-0,071","0,966","-0,058","0,125","1,052","-0,058","0,080","1,030","-0,033","-0,041","1,043"
489,"-0,044","0,017","1,010","-0,044","0,032","1,015","0,010","0,014","0,945","0,034","-0,086","0,961","-0,050","0,122","1,046","-0,070","0,073","1,031","-0,055","-0,037","1,035"
490,"-0,058","0,011","1,018","-0,041","0,029","1,012","0,000","0,013","0,952","0,030","-0,090","0,975","-0,040","0,122","1,046","-0,064","0,072","1,032","-0,042","-0,042","1,018"
491,"-0,052","0,016","1,014","-0,042","0,028","1,009","0,007","0,011","0,946","0,016","-0,100","0,984","-0,046","0,123","1,033","-0,070","0,073","1,032","-0,034","-0,054","1,019"
492,"-0,054","0,019","1,009","-0,050","0,034","1,002","0,004","0,005","0,947","0,013","-0,121","0,964","-0,055","0,123","1,012","-0,064","0,069","1,022","-0,023","-0,066","1,021"
493,"-0,061","0,024","1,009","-0,063","0,027","0,990","0,006","0,013","0,949","0,021","-0,110","0,962","-0,052","0,135","0,996","-0,072","0,079","1,023","-0,047","-0,082","1,015"
494,"-0,068","0,024","1,006","-0,073","0,027","0,984","0,005","0,005","0,947","0,033","-0,102","0,958","-0,041","0,136","0,990","-0,080","0,084","1,031","-0,040","-0,088","1,028"
495,"-0,070","0,036","1,000","-0,077","0,025","0,976","-0,007","0,002","0,954","0,054","-0,106","0,935","-0,022","0,123","1,001","-0,094","0,086","1,020","-0,044","-0,097","1,028"
496,"-0,074","0,030","1,001","-0,081","0,019","0,977","0,000","-0,001","0,948","0,063","-0,104","0,944","-0,019","0,116","1,014","-0,098","0,067","1,021","-0,036","-0,092","1,026"
497,"-0,080","0,033","0,994","-0,085","0,020","0,975","0,007","-0,001","0,945","0,051","-0,103","0,944","-0,031","0,115","1,017","-0,092","0,056","1,016","-0,025","-0,104","1,041"
498,"-0,074","0,040","0,984","-0,087","0,021","0,980","0,002","0,002","0,944","0,056","-0,110","0,949","-0,039","0,115","1,020","-0,078","0,068","1,017","-0,040","-0,083","1,034"
499,"-0,067","0,046","0,991","-0,086","0,024","0,985","-0,004","0,005","0,948","0,045","-0,107","0,942","-0,041","0,115","1,029","-0,074","0,082","1,025","-0,028","-0,095","1,034"
500,"-0,070","0,044","0,997","-0,076","0,026","0,989","0,001","-0,001","0,951","0,053","-0,101","0,936","-0,045","0,115","1,032","-0,073","0,082","1,008","-0,036","-0,095","1,038"
501,"-0,063","0,041","0,999","-0,068","0,028","0,994","-0,012","-0,002","0,950","0,057","-0,105","0,935","-0,044","0,115","1,024","-0,087","0,078","1,017","-0,030","-0,095","1,039"
502,"-0,076","0,045","0,991","-0,063","0,028","1,003","-0,002","-0,002","0,948","0,050","-0,096","0,942","-0,042","0,115","1,024","-0,108","0,089","1,016","-0,030","-0,092","1,048"
503,"-0,081","0,054","0,988","-0,063","0,029","0,998","0,001","0,002","0,952","0,051","-0,103","0,940","-0,041","0,122","1,033","-0,110","0,097","1,006","-0,033","-0,082","1,047"
504,"-0,085","0,058","0,989","-0,062","0,025","0,999","-0,006","-0,003","0,948","0,046","-0,095","0,952","-0,043","0,116","1,042","-0,115","0,089","1,015","-0,042","-0,082","1,051"
505,"-0,083","0,055","0,986","-0,066","0,021","0,993","-0,001","-0,001","0,955","0,024","-0,089","0,949","-0,052","0,115","1,053","-0,111","0,078","1,012","-0,052","-0,069","1,049"
506,"-0,074","0,057","0,989","-0,066","0,020","0,999","-0,012","-0,003","0,946","0,020","-0,096","0,938","-0,075","0,121","1,048","-0,108","0,077","1,019","-0,073","-0,066","1,053"
507,"-0,063","0,065","0,982","-0,067","0,018","0,995","0,000","0,000","0,950","0,019","-0,086","0,951","-0,084","0,137","1,038","-0,099","0,087","1,028","-0,078","-0,044","1,048"
508,"-0,071","0,057","0,991","-0,059","0,008","0,994","0,003","0,001","0,948","0,006","-0,076","0,955","-0,089","0,153","1,039","-0,100","0,086","1,013","-0,072","-0,025","1,054"
509,"-0,081","0,053","0,993","-0,056","0,017","0,995","0,002","0,001","0,945","0,003","-0,073","0,970","-0,084","0,156","1,039","-0,107","0,083","1,013","-0,082","-0,035","1,034"
510,"-0,073","0,048","1,004","-0,055","0,013","0,994","-0,006","0,002","0,952","-0,001","-0,080","0,946","-0,070","0,145","1,046","-0,102","0,079","1,027","-0,083","-0,020","1,032"
511,"-0,071","0,046","1,000","-0,049","0,014","1,003","-0,002","0,000","0,951","-0,007","-0,063","0,939","-0,069","0,156","1,039","-0,100","0,079","1,024","-0,082","0,000","1,052"
