Index,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z
1173,"0,999","0,009","0,046","0,017","0,999","0,025","0,026","0,000","1,000","-0,018","0,010","-0,002","0,644","-0,694","0,311","0,088","0,982","0,187","0,027","-0,005","0,999","-0,014","0,044","-0,012","0,808","-0,584","0,013","0,072"
1174,"0,999","0,009","0,046","0,017","0,999","0,026","0,026","0,000","1,000","-0,018","0,011","-0,001","0,644","-0,694","0,311","0,088","0,982","0,187","0,027","-0,005","0,999","-0,014","0,045","-0,012","0,808","-0,585","0,013","0,072"
1175,"0,999","0,010","0,046","0,018","0,999","0,026","0,026","0,000","1,000","-0,018","0,011","-0,001","0,643","-0,694","0,311","0,088","0,982","0,187","0,027","-0,004","0,999","-0,015","0,045","-0,013","0,808","-0,585","0,012","0,072"
1176,"0,999","0,010","0,047","0,020","0,999","0,026","0,026","0,000","1,000","-0,018","0,010","-0,001","0,643","-0,694","0,311","0,088","0,982","0,187","0,026","-0,004","0,999","-0,015","0,045","-0,013","0,808","-0,585","0,012","0,072"
1177,"0,999","0,011","0,047","0,023","0,999","0,026","0,026","0,000","1,000","-0,017","0,010","-0,001","0,643","-0,695","0,311","0,088","0,982","0,187","0,025","-0,004","0,999","-0,015","0,045","-0,013","0,808","-0,585","0,012","0,072"
1178,"0,998","0,012","0,048","0,025","0,999","0,026","0,025","-0,001","1,000","-0,017","0,009","-0,001","0,643","-0,695","0,311","0,088","0,982","0,186","0,025","-0,004","0,999","-0,015","0,046","-0,012","0,808","-0,585","0,012","0,072"
1179,"0,998","0,013","0,049","0,029","0,999","0,026","0,025","-0,001","1,000","-0,016","0,007","-0,001","0,643","-0,695","0,311","0,088","0,982","0,186","0,025","-0,004","0,999","-0,015","0,046","-0,012","0,807","-0,585","0,012","0,072"
1180,"0,998","0,014","0,049","0,033","0,999","0,026","0,025","-0,001","1,000","-0,015","0,006","-0,001","0,643","-0,695","0,311","0,088","0,982","0,186","0,024","-0,004","0,999","-0,015","0,047","-0,011","0,807","-0,586","0,012","0,072"
1181,"0,998","0,015","0,050","0,037","0,999","0,025","0,025","-0,001","1,000","-0,014","0,005","0,000","0,642","-0,695","0,311","0,088","0,982","0,186","0,024","-0,004","0,999","-0,014","0,047","-0,010","0,807","-0,586","0,012","0,072"
1182,"0,998","0,015","0,050","0,041","0,999","0,025","0,025","-0,001","1,000","-0,013","0,003","0,000","0,642","-0,695","0,311","0,089","0,982","0,186","0,024","-0,004","0,999","-0,013","0,047","-0,009","0,807","-0,586","0,012","0,072"
1183,"0,998","0,016","0,051","0,045","0,999","0,025","0,025","-0,001","1,000","-0,013","0,001","0,000","0,642","-0,695","0,311","0,089","0,982","0,186","0,024","-0,005","0,999","-0,013","0,048","-0,008","0,807","-0,586","0,012","0,072"
1184,"0,997","0,017","0,052","0,049","0,999","0,025","0,025","-0,001","1,000","-0,012","-0,001","0,000","0,642","-0,695","0,311","0,089","0,982","0,185","0,024","-0,005","0,999","-0,012","0,048","-0,007","0,807","-0,586","0,012","0,072"
1185,"0,997","0,017","0,053","0,053","0,999","0,025","0,024","-0,001","1,000","-0,011","-0,002","0,000","0,642","-0,695","0,311","0,089","0,982","0,185","0,025","-0,005","0,999","-0,011","0,049","-0,005","0,807","-0,586","0,012","0,072"
1186,"0,997","0,018","0,053","0,056","0,999","0,025","0,024","-0,001","1,000","-0,010","-0,004","0,000","0,642","-0,695","0,311","0,089","0,982","0,185","0,024","-0,005","0,999","-0,010","0,049","-0,004","0,807","-0,586","0,013","0,072"
1187,"0,997","0,018","0,053","0,059","0,999","0,026","0,024","-0,001","1,000","-0,010","-0,005","0,000","0,643","-0,694","0,312","0,089","0,982","0,185","0,024","-0,005","0,999","-0,010","0,050","-0,002","0,807","-0,586","0,013","0,072"
1188,"0,996","0,018","0,054","0,062","0,999","0,026","0,024","-0,001","1,000","-0,009","-0,006","0,001","0,643","-0,694","0,312","0,089","0,983","0,185","0,024","-0,005","0,999","-0,009","0,050","-0,001","0,807","-0,586","0,013","0,072"
1189,"0,996","0,017","0,054","0,064","0,999","0,026","0,023","-0,001","1,000","-0,008","-0,007","0,001","0,643","-0,694","0,312","0,089","0,983","0,185","0,023","-0,005","0,999","-0,008","0,050","0,000","0,807","-0,586","0,013","0,072"
1190,"0,996","0,017","0,055","0,066","0,999","0,026","0,023","-0,001","1,000","-0,008","-0,009","0,001","0,643","-0,693","0,312","0,089","0,983","0,185","0,023","-0,005","0,999","-0,008","0,050","0,001","0,808","-0,585","0,013","0,071"
1191,"0,996","0,017","0,055","0,068","0,999","0,026","0,023","-0,001","1,000","-0,008","-0,010","0,001","0,644","-0,693","0,312","0,089","0,983","0,184","0,023","-0,005","0,999","-0,007","0,050","0,001","0,808","-0,585","0,013","0,071"
1192,"0,996","0,016","0,055","0,069","0,999","0,027","0,023","0,000","1,000","-0,007","-0,010","0,001","0,644","-0,693","0,312","0,089","0,983","0,185","0,023","-0,005","0,999","-0,007","0,050","0,002","0,808","-0,584","0,013","0,070"
1193,"0,996","0,016","0,055","0,070","0,999","0,027","0,023","0,000","1,000","-0,007","-0,011","0,001","0,645","-0,692","0,312","0,088","0,983","0,185","0,022","-0,005","0,999","-0,007","0,050","0,002","0,809","-0,584","0,013","0,070"
1194,"0,996","0,016","0,055","0,071","0,999","0,027","0,023","0,000","1,000","-0,007","-0,011","0,001","0,645","-0,692","0,312","0,088","0,983","0,185","0,022","-0,005","0,999","-0,007","0,050","0,002","0,809","-0,583","0,012","0,070"
1195,"0,996","0,016","0,055","0,070","0,999","0,028","0,023","0,000","1,000","-0,007","-0,011","0,001","0,646","-0,692","0,312","0,087","0,983","0,185","0,022","-0,005","0,999","-0,007","0,050","0,002","0,810","-0,583","0,013","0,069"
1196,"0,996","0,015","0,055","0,069","0,999","0,028","0,023","0,000","1,000","-0,008","-0,011","0,001","0,646","-0,691","0,312","0,087","0,982","0,185","0,022","-0,006","0,999","-0,007","0,049","0,002","0,810","-0,582","0,013","0,069"
1197,"0,996","0,015","0,054","0,068","0,999","0,028","0,023","0,001","1,000","-0,008","-0,010","0,000","0,646","-0,691","0,312","0,087","0,982","0,185","0,022","-0,006","0,999","-0,007","0,049","0,002","0,810","-0,582","0,013","0,069"
1198,"0,996","0,014","0,054","0,065","0,999","0,028","0,023","0,001","1,000","-0,009","-0,008","0,000","0,647","-0,690","0,312","0,087","0,982","0,185","0,022","-0,006","0,999","-0,007","0,049","0,002","0,811","-0,581","0,013","0,069"
1199,"0,997","0,014","0,052","0,060","0,999","0,028","0,024","0,001","1,000","-0,010","-0,005","0,000","0,647","-0,690","0,312","0,087","0,982","0,185","0,023","-0,006","0,999","-0,007","0,048","0,001","0,811","-0,581","0,013","0,068"
1200,"0,997","0,013","0,051","0,055","0,999","0,028","0,024","0,001","1,000","-0,012","-0,002","-0,001","0,647","-0,690","0,312","0,086","0,982","0,186","0,023","-0,006","0,999","-0,007","0,048","0,000","0,811","-0,581","0,013","0,068"
1201,"0,997","0,012","0,051","0,049","0,999","0,028","0,024","0,001","1,000","-0,013","0,001","-0,001","0,648","-0,690","0,312","0,086","0,982","0,186","0,022","-0,006","0,999","-0,007","0,047","-0,001","0,811","-0,581","0,012","0,068"
1202,"0,998","0,011","0,050","0,044","0,999","0,028","0,024","0,001","1,000","-0,015","0,004","-0,001","0,648","-0,690","0,311","0,086","0,982","0,186","0,022","-0,006","0,999","-0,007","0,046","-0,002","0,811","-0,580","0,012","0,068"
1203,"0,998","0,011","0,050","0,040","0,999","0,028","0,024","0,000","1,000","-0,016","0,006","-0,001","0,648","-0,690","0,311","0,085","0,982","0,186","0,022","-0,006","0,999","-0,008","0,046","-0,004","0,811","-0,580","0,012","0,068"
1204,"0,998","0,011","0,049","0,036","0,999","0,028","0,023","0,000","1,000","-0,017","0,008","-0,002","0,648","-0,690","0,311","0,085","0,982","0,187","0,022","-0,006","0,999","-0,009","0,046","-0,005","0,811","-0,580","0,012","0,067"
1205,"0,998","0,011","0,049","0,033","0,999","0,029","0,023","0,000","1,000","-0,018","0,009","-0,002","0,648","-0,691","0,311","0,085","0,982","0,187","0,022","-0,006","0,999","-0,010","0,045","-0,006","0,812","-0,580","0,011","0,067"
1206,"0,998","0,011","0,049","0,030","0,999","0,029","0,023","0,000","1,000","-0,019","0,010","-0,002","0,648","-0,691","0,310","0,085","0,982","0,187","0,022","-0,005","0,999","-0,010","0,045","-0,007","0,812","-0,580","0,011","0,067"
