Index,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z
530,"-0,915","0,725","2,651","-0,690","-0,518","3,622","-1,474","2,290","-0,197","-0,302","1,448","-1,175","7,804","-4,325","1,236","0,602","-2,472","0,451","-3,920","-3,636","-5,855"
531,"-1,158","0,432","2,740","-0,391","-0,833","3,595","-1,591","2,523","-0,051","-1,055","2,024","-1,159","9,036","-4,196","1,209","0,540","-2,627","0,168","-3,800","-4,214","-7,394"
532,"-1,291","-0,083","2,687","-0,400","-1,095","3,519","-1,688","2,539","-0,205","-2,110","2,850","-1,090","10,010","-3,798","2,502","0,738","-2,192","0,964","-4,157","-4,319","-7,510"
533,"-1,194","0,165","3,186","-0,109","-1,191","3,329","-2,037","2,663","-0,020","-0,685","3,013","-0,764","9,456","-4,013","2,110","0,892","-2,024","1,404","-5,026","-4,423","-7,336"
534,"-1,206","-0,174","3,082","0,504","-1,308","3,368","-1,879","2,775","0,182","0,567","1,919","-0,420","9,101","-4,685","0,436","1,665","-2,825","0,819","-5,659","-5,192","-7,793"
535,"-1,411","-0,715","1,907","0,682","-1,202","3,273","-1,697","2,791","0,454","-1,039","2,500","-0,587","8,628","-4,911","-0,081","2,408","-3,582","0,059","-5,428","-5,833","-8,368"
536,"-1,791","-1,165","0,848","0,933","-1,217","2,511","-1,764","2,504","0,299","-1,697","2,455","-0,609","7,962","-4,610","-0,236","2,875","-3,441","-0,133","-5,399","-5,862","-8,751"
537,"-1,952","-1,647","-0,596","1,081","-1,126","1,987","-1,602","2,409","0,428","-0,826","1,669","-0,512","8,067","-4,532","-0,560","2,901","-3,610","-1,177","-5,106","-5,540","-7,803"
538,"-2,324","-2,068","-1,537","1,063","-1,050","1,726","-1,624","2,259","0,547","-0,730","1,508","-0,680","7,854","-4,553","0,075","3,098","-3,588","-1,863","-4,651","-5,428","-6,554"
539,"-2,704","-2,399","-2,625","1,111","-1,083","1,542","-1,499","2,308","0,569","-0,706","2,043","-0,469","8,026","-4,150","0,503","3,006","-3,700","-2,321","-4,343","-5,505","-5,769"
540,"-3,011","-2,747","-3,525","0,854","-1,053","1,369","-1,495","1,978","0,436","0,091","2,048","-0,307","7,905","-4,341","0,532","3,066","-4,048","-3,182","-3,745","-5,126","-4,821"
541,"-3,296","-2,788","-3,181","0,711","-1,226","1,100","-1,498","1,611","0,255","0,468","1,129","-0,365","6,613","-4,473","0,551","2,254","-4,244","-3,751","-3,277","-5,085","-4,536"
542,"-3,434","-2,744","-2,491","0,641","-1,367","1,007","-1,404","1,513","-0,225","0,038","2,088","-0,507","6,290","-5,064","-0,074","1,175","-4,786","-4,467","-2,899","-5,538","-4,648"
543,"-3,662","-2,521","-1,334","0,371","-1,489","0,676","-1,458","1,299","-0,285","0,344","2,448","-0,257","5,438","-5,204","0,314","1,233","-4,684","-4,155","-2,652","-5,367","-4,700"
544,"-3,635","-2,377","0,013","0,036","-1,862","0,333","-1,489","1,274","-0,727","0,502","1,749","-0,140","3,653","-4,777","1,063","1,233","-4,333","-3,282","-2,259","-6,027","-5,785"
545,"-3,628","-2,366","1,080","-0,107","-2,154","0,087","-1,436","1,449","-0,404","-0,268","2,186","-0,333","2,233","-4,660","1,924","1,530","-4,310","-2,584","-1,848","-6,010","-5,561"
546,"-3,949","-2,377","1,797","-0,129","-2,389","-0,180","-1,772","1,319","-0,567","0,339","1,835","-0,006","2,320","-3,974","2,450","0,968","-4,364","-2,247","-1,693","-5,731","-4,406"
547,"-4,011","-1,979","2,647","0,088","-2,817","-0,490","-1,762","1,517","-0,722","0,411","1,258","0,231","2,887","-3,721","1,871","0,583","-4,904","-2,380","-1,565","-6,275","-4,434"
548,"-4,105","-1,893","4,016","0,187","-2,994","-0,776","-1,917","1,772","-0,743","-0,640","1,071","-0,234","2,512","-4,380","0,331","0,930","-4,786","-1,008","-1,459","-6,893","-4,167"
