Index,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z
77,"-19,344","12,707","16,888","-2,106","1,341","-0,238","-22,796","-2,499","14,692","1,659","-8,929","0,528","-0,613","5,042","-1,298","5,180","0,983","-0,917","-1,582","2,744","-0,917"
78,"-21,604","12,852","13,349","-0,998","1,236","-0,123","-22,593","-2,720","11,752","6,727","-12,431","-0,172","-2,275","3,809","0,035","3,639","1,172","-1,497","-1,019","2,848","-0,374"
79,"-22,857","11,908","7,879","-0,353","1,058","-0,455","-19,979","-3,401","8,808","11,146","-13,426","0,665","-4,078","2,574","1,072","1,740","1,265","-1,825","-0,413","3,638","1,814"
80,"-23,387","10,001","2,686","0,311","1,040","-0,567","-16,369","-4,536","6,297","9,954","-11,211","0,067","-5,403","1,939","1,310","-0,822","1,289","-1,839","-0,075","4,430","3,567"
81,"-22,034","8,430","0,994","1,021","1,173","-0,893","-11,392","-4,927","5,646","7,699","-7,958","-0,460","-5,938","2,016","0,787","-4,039","1,118","-1,217","-0,389","4,927","4,386"
82,"-20,410","7,467","1,526","1,751","1,104","-0,939","-7,322","-4,973","4,394","9,776","-6,710","0,035","-6,309","2,034","-0,040","-6,940","0,495","-0,270","-0,808","4,822","4,266"
83,"-17,379","5,508","1,140","1,667","1,243","-0,460","-2,318","-4,356","3,691","12,414","-7,643","1,878","-5,720","2,262","-0,964","-8,320","-1,070","0,458","-1,349","5,158","4,872"
84,"-13,183","3,400","0,304","2,131","1,255","-0,003","3,709","-2,435","1,414","12,893","-9,415","2,712","-4,735","1,562","-2,159","-8,236","-3,256","1,092","-0,822","5,700","5,877"
85,"-7,837","-0,129","-1,528","3,277","1,469","0,553","12,681","-0,363","-0,364","11,899","-11,317","3,692","-4,379","-0,104","-2,994","-8,040","-3,875","1,495","-0,634","6,381","6,576"
86,"-1,632","-4,137","-3,395","4,091","1,507","0,792","19,542","1,556","-2,106","12,421","-11,530","4,662","-4,136","-2,080","-3,659","-8,281","-2,551","1,781","-0,680","6,954","6,487"
87,"4,909","-7,134","-2,598","4,466","1,282","0,923","15,900","1,212","1,185","11,140","-11,487","5,479","-3,962","-4,279","-3,989","-8,330","-1,487","2,378","-0,463","6,894","5,439"
88,"8,013","-8,551","-3,305","4,372","0,432","0,634","6,421","4,199","1,423","9,667","-10,227","4,780","-4,217","-5,874","-4,005","-8,679","-1,761","2,975","-0,048","6,886","4,245"
89,"7,839","-10,535","-8,591","3,580","-0,107","-0,021","12,568","2,678","-0,497","8,402","-8,588","4,378","-4,507","-6,707","-4,185","-9,392","-2,476","3,643","0,170","7,183","3,908"
90,"6,039","-10,725","-14,814","2,626","-0,423","-0,452","20,598","-1,277","-9,810","7,697","-8,005","3,516","-4,002","-5,503","-4,412","-9,748","-1,815","4,093","0,284","7,591","4,053"
91,"2,955","-10,452","-21,777","2,429","-0,691","-0,579","21,064","-2,155","-12,842","6,126","-7,857","1,701","-3,382","-3,131","-5,167","-9,326","-0,204","4,102","0,080","8,660","5,071"
92,"-0,708","-10,882","-26,863","2,967","-0,838","-0,722","22,093","-1,145","-11,094","4,653","-8,194","3,187","-2,805","-1,797","-5,392","-8,656","1,891","4,291","-0,093","9,838","6,447"
93,"-3,855","-11,104","-26,058","3,803","-0,938","-0,958","24,699","-1,611","-9,571","4,181","-4,404","1,327","-2,480","-1,862","-5,534","-7,855","3,942","4,830","-0,190","9,919","5,507"
94,"-4,776","-11,207","-20,304","3,855","-0,958","-1,082","24,395","-1,761","-8,237","4,672","-1,204","0,933","-2,481","-2,234","-5,317","-5,921","4,546","6,583","0,264","9,172","3,799"
95,"-3,967","-12,177","-14,131","2,924","-1,046","-1,242","18,184","-1,877","-6,848","3,011","-0,293","1,049","-3,110","-1,917","-5,069","-4,476","3,849","8,124","1,010","8,479","2,911"
96,"-2,814","-12,797","-8,126","1,521","-0,978","-1,204","9,998","0,154","-4,003","1,317","3,071","-0,738","-2,847","-1,201","-5,602","-2,336","1,345","10,382","1,554","7,267","0,830"
97,"-1,937","-13,109","-2,311","0,483","-0,854","-1,204","5,499","1,145","-1,872","1,837","5,522","-0,647","-1,740","0,190","-6,445","0,105","-1,015","12,503","2,171","6,192","-0,698"
98,"-1,473","-12,437","3,237","-0,214","-0,416","-0,786","3,391","0,282","-1,566","2,070","7,552","-1,708","-0,705","0,964","-7,148","0,792","-1,559","13,060","2,476","5,750","-1,408"
99,"-0,978","-10,280","8,612","-0,521","0,067","-0,096","1,465","-0,943","-0,503","-0,324","7,698","-2,532","-0,455","0,437","-7,878","-0,383","-0,800","12,553","1,735","6,057","-1,969"
100,"-0,727","-7,099","13,617","-0,848","0,510","0,354","0,690","-0,211","0,219","-0,299","5,858","-3,069","-0,952","-0,300","-8,702","-1,565","-0,815","11,654","2,258","5,197","-5,122"
101,"-0,359","-4,336","16,926","-0,581","0,676","0,616","3,286","0,011","0,109","2,267","6,291","-3,640","-2,170","0,068","-9,038","-2,311","-2,909","10,866","2,684","4,119","-8,584"
102,"-0,307","-3,255","16,884","-0,431","1,034","0,918","5,200","-1,301","-0,776","1,472","5,816","-5,757","-2,448","2,733","-9,416","-2,749","-5,794","10,088","1,891","2,865","-11,445"
103,"-0,593","-2,475","14,590","-1,469","0,977","0,947","4,107","-1,208","-0,312","0,032","2,946","-6,395","-2,070","6,171","-9,612","-1,506","-7,652","8,413","1,292","2,104","-13,030"
104,"-0,869","-2,209","10,713","-2,254","0,635","1,127","4,373","-0,252","-0,445","0,887","3,757","-6,689","-0,993","8,015","-9,163","-0,278","-7,529","6,393","1,916","0,760","-13,323"
105,"-1,107","-2,576","6,262","-3,008","0,235","0,942","5,552","0,703","-2,484","0,892","6,854","-5,547","0,264","7,040","-7,761","0,786","-7,140","5,127","2,114","-0,301","-11,603"
106,"-1,559","-3,347","1,199","-3,252","-0,311","0,244","5,160","2,720","-2,936","0,334","6,434","-3,282","0,067","4,106","-5,998","1,782","-6,523","3,628","1,775","-0,696","-7,936"
107,"-1,922","-4,356","-2,046","-3,530","-1,045","-0,854","4,240","4,881","-3,343","-1,599","3,643","-3,439","-1,560","1,738","-4,283","2,800","-5,021","3,071","0,518","-0,096","-3,480"
108,"-2,087","-4,793","-3,563","-3,989","-1,776","-1,939","3,869","5,847","-3,623","-0,155","1,259","-2,864","-2,412","1,767","-3,110","2,541","-2,904","2,739","0,337","0,241","-0,787"
109,"-1,877","-4,080","-3,378","-4,243","-1,739","-2,854","1,887","5,929","-2,719","-2,431","0,663","-1,962","-0,672","3,618","-2,953","1,785","-1,042","1,999","-0,646","0,609","-0,030"
110,"-1,390","-3,157","-2,589","-4,622","-1,763","-3,006","0,076","5,748","-2,193","-4,306","2,635","-4,525","1,973","6,511","-3,315","1,689","0,866","0,888","0,156","-0,552","-2,252"
111,"-1,009","-1,603","-0,437","-4,846","-1,360","-2,805","-0,477","6,192","-2,094","-2,562","4,594","-4,039","3,305","8,533","-3,228","3,367","2,389","-0,095","1,209","-2,125","-4,587"
112,"-0,220","0,122","2,376","-4,551","-0,534","-2,281","0,217","5,902","-2,286","-3,246","3,243","-2,901","3,450","7,408","-1,920","4,816","2,499","-0,646","1,203","-3,247","-6,007"
113,"0,332","1,196","4,013","-4,340","0,003","-2,013","-0,670","4,604","-2,216","-3,291","1,080","-3,141","2,590","3,981","0,277","6,509","1,687","-1,329","0,990","-3,790","-5,751"
114,"0,508","1,981","5,608","-4,481","0,387","-2,312","-1,710","4,388","-1,543","-1,365","0,233","-1,498","0,519","0,053","2,858","6,377","2,139","-1,659","1,815","-4,533","-4,823"
115,"1,119","2,268","6,394","-4,093","0,365","-2,835","-1,294","4,378","-1,093","-0,316","0,522","-0,699","-1,130","-2,503","4,609","7,842","1,054","-1,748","1,262","-4,219","-2,082"
116,"1,634","1,870","4,892","-3,790","0,294","-3,653","-2,147","3,695","-1,032","-0,352","2,520","-0,931","-1,610","-3,300","5,310","10,816","0,543","-2,395","0,831","-3,470","0,723"
117,"1,933","1,456","2,778","-3,824","-0,195","-4,004","-3,471","4,027","-0,761","-1,914","3,004","-0,629","-1,636","-2,971","5,257","11,341","1,945","-3,163","0,412","-2,364","4,104"
118,"2,460","0,946","0,532","-3,421","-0,363","-3,514","-2,009","5,861","-0,434","-1,950","4,170","-1,351","-1,383","-2,132","4,439","7,917","3,093","-3,321","0,490","-0,965","7,446"
119,"2,823","0,414","-1,162","-2,559","-0,348","-2,655","-0,491","5,531","-1,089","-0,701","4,903","-0,496","-0,529","-1,653","3,536","5,418","3,575","-3,206","0,761","0,455","9,355"
120,"2,715","-0,158","-2,708","-2,076","-0,477","-1,929","-1,439","5,649","-0,765","-2,234","5,190","-1,476","0,393","-1,986","2,972","5,843","4,529","-3,173","1,837","1,126","9,724"
121,"3,299","-0,908","-2,936","-1,669","-0,515","-1,398","-0,358","6,640","1,511","-3,585","5,813","-2,124","0,449","-2,695","2,611","4,472","4,388","-1,942","2,138","0,848","9,068"
122,"3,936","-0,816","-1,569","-1,261","-0,733","-0,837","0,421","6,082","-0,078","-1,660","5,747","-1,862","0,196","-3,121","2,410","5,208","5,306","-1,700","3,285","0,450","7,860"
123,"3,830","-0,647","-0,636","-1,093","-0,824","-1,021","-0,661","6,369","0,885","-1,462","5,031","-0,576","0,655","-3,174","2,203","7,512","6,855","-2,043","3,746","-0,408","5,386"
124,"3,990","-0,360","0,024","-1,051","-0,984","-1,247","-0,396","7,028","0,615","-0,756","5,689","-2,334","0,761","-2,854","1,673","7,581","7,492","-1,660","3,787","-1,427","2,135"
